2016-01-02,"'barron', 'top', 'income', 'investment'"
2016-01-04,"'american', 'express', 'go', 'another', 'one'"
2016-01-04,"'refile', 'fidelity', 'drop', 'credit', 'card', 'partner', 'american', 'express', 'bank'"
2016-01-06,"'eight', 'bank', 'pick', 'earnings'"
2016-01-07,"'wait', 'bernie', 'let', 'market', 'break', 'underperforming', 'big'"
2016-01-08,"'bank', 'walk'"
2016-01-09,"'harrowing', 'start', 'stock', 'could', 'take'"
2016-01-12,"'citigroup', 'pegged', 'heavy', 'lifting', 'bank', 'begin', 'earnings'"
2016-01-14,"'banker', 'morgan', 'outpace', 'bond', 'peer', 'first', 'time', 'seven'"
2016-01-14,"'jpmorgan', 'big', 'beat', 'good', 'news', 'bank', 'america', 'citigroup'"
2016-01-14,"'bank', 'stock', 'trade', 'broadly', 'higher', 'morgan', 'chase'"
2016-01-14,"'illinois', 'sell', 'mln', 'bond', 'overall', 'rate', 'near'"
2016-01-14,"'move', 'bank', 'america', 'name', 'new', 'co', 'head', 'investment', 'banking', 'asia', 'pacific'"
2016-01-15,"'rb', 'settlement', 'mortgage', 'could', 'come', 'within', 'week'"
2016-01-16,'next'
2016-01-16,"'nfl', 'eventually', 'put', 'team', 'london'"
2016-01-17,"'bank', 'america', 'may', 'take', 'hit', 'one', 'time'"
2016-01-18,"'woeful', 'earnings', 'threaten', 'intensify', 'stock', 'market'"
2016-01-19,"'dow', 'end', 'slightly', 'higher', 'oil', 'rout'"
2016-01-19,"'bank', 'america', 'stock', 'drop', 'year'"
2016-01-19,"'bank', 'america', 'stock', 'head', 'toward', 'lowest', 'close', 'two'"
2016-01-19,"'bank', 'america', 'stock', 'track', 'lowest', 'close', 'since', 'nov'"
2016-01-19,"'bank', 'america', 'stock', 'turn', 'lower', 'reverse', 'earlier', 'gain', 'much'"
2016-01-19,"'one', 'move', 'make', 'short', 'term', 'bounce', 'stock'"
2016-01-19,"'morning', 'mover', 'bank', 'america', 'morgan', 'stanley', 'jump', 'earnings', 'shake', 'shack', 'climb'"
2016-01-19,"'bank', 'america', 'profit', 'rise'"
2016-01-19,"'bank', 'america', 'stock', 'climb', 'premarket'"
2016-01-19,"'bank', 'america', 'net', 'interest', 'income', 'bln', 'factset', 'consensus'"
2016-01-19,"'bank', 'america', 'sale', 'trading', 'revenue'"
2016-01-19,"'bank', 'america', 'revenue', 'bln', 'factset', 'consensus'"
2016-01-19,"'bank', 'america', 'factset', 'eps', 'consensus'"
2016-01-19,"'bank', 'america', 'eps', 'cent', 'v', 'cent', 'year'"
2016-01-19,"'reason', 'pessimistic', 'stock'"
2016-01-19,"'bank', 'america', 'quarterly', 'profit', 'rise'"
2016-01-19,"'fitch', 'expense', 'management', 'remains', 'key', 'bank'"
2016-01-20,"'goldman', 'ready', 'bounce', 'back', 'bond', 'trading'"
2016-01-20,"'buy', 'dip', 'bank'"
2016-01-20,"'move', 'bofa', 'merrill', 'lynch', 'appoints', 'emea', 'ecm', 'co', 'head'"
2016-01-20,"'move', 'bofa', 'name', 'co', 'head', 'emea', 'equity', 'capital', 'market'"
2016-01-23,"'dr', 'copper', 'shed'"
2016-01-23,"'dr', 'copper', 'shed'"
2016-01-25,"'bank', 'america', 'stock', 'drop', 'toward', 'year', 'low', 'active'"
2016-01-25,"'bank', 'stock', 'chart', 'suggest', 'big', 'loss', 'still'"
2016-01-26,"'apple', 'hated', 'almost', 'much', 'big'"
2016-01-27,"'postal', 'saving', 'bank', 'china', 'pick', 'bank', 'lead', 'billion'"
2016-01-27,"'deutsche', 'bank', 'profit', 'hurt', 'equity'"
2016-01-27,"'bond', 'worth', 'bln', 'euro', 'risk', 'becoming', 'fallen', 'angel', 'europe'"
2016-01-28,"'nasdaq', 'revenue', 'boosted', 'non', 'trading'"
2016-01-29,"'bank', 'america', 'recession', 'proof'"
2016-01-29,"'bank', 'america', 'stock', 'jump', 'active', 'trade', 'analyst', 'swing'"
2016-01-29,"'bank', 'america', 'upgraded', 'outperform', 'sell'"
2016-01-30,"'best', 'place', 'raise'"
2016-01-30,"'time', 'buy', 'bank'"
2016-01-31,"'citigroup', 'bank', 'america', 'bank', 'stock', 'get', 'much', 'love'"
2016-02-01,"'market', 'getting', 'wrong', 'billion', 'plus', 'market', 'cap', 'stock', 'like', 'apple'"
2016-02-01,"'bernie', 'sander', 'put', 'ge', 'verizon', 'boeing', 'corporate', 'tax', 'hit'"
2016-02-01,"'corrected', 'move', 'credit', 'suisse', 'hire', 'bank', 'america', 'executive'"
2016-02-02,"'goldman', 'sachs', 'bank', 'america', 'share', 'slump', 'treasury', 'yield'"
2016-02-03,"'bipolar', 'dow', 'industrials', 'end', 'sharply', 'higher', 'reversing', 'early'"
2016-02-03,"'bank', 'stock', 'rocked', 'recession'"
2016-02-03,"'bank', 'america', 'stock', 'slump', 'track', 'lowest', 'close', 'since', 'june'"
2016-02-04,"'morgan', 'stanley', 'give', 'higher', 'oil', 'price'"
2016-02-05,"'bank', 'stock', 'taken', 'enough', 'punishment', 'ubs', 'analyst'"
2016-02-05,"'atm', 'future', 'look'"
2016-02-05,"'nine', 'bank', 'set', 'grow', 'eps'"
2016-02-05,"'corrected', 'yield', 'curve', 'move', 'flash', 'global', 'recession', 'warning'"
2016-02-08,"'stock', 'really', 'freaking'"
2016-02-08,"'defense', 'bank'"
2016-02-08,"'buffett', 'stock', 'bargain', 'beaten'"
2016-02-08,"'allianz', 'bank', 'america', 'invest', 'wind'"
2016-02-09,"'bank', 'stock', 'extend', 'slide', 'toward', 'multiyear'"
2016-02-09,"'bank', 'stock', 'extend', 'slide', 'toward', 'multiyear'"
2016-02-09,"'white', 'house', 'proposing', 'fee', 'big'"
2016-02-09,"'bank', 'america', 'stock', 'fall', 'premarket'"
2016-02-09,"'bank', 'america', 'stock', 'track', 'open', 'lowest', 'price', 'seen', 'since', 'april'"
2016-02-10,"'bank', 'america', 'stock', 'premarket', 'yellen'"
2016-02-11,"'stock', 'leading', 'market', 'decline'"
2016-02-12,"'gold', 'score', 'best', 'weekly', 'gain', 'since', 'financial'"
2016-02-12,"'energy', 'loan', 'worry', 'climb', 'oil', 'company', 'max', 'credit'"
2016-02-12,"'bank', 'america', 'chief', 'moynihan', 'get', 'percent', 'pay'"
2016-02-13,"'bank', 'america', 'chief', 'get', 'pay'"
2016-02-13,"'ceo', 'jamie', 'dimon', 'bet', 'morgan', 'chase', 'tune'"
2016-02-13,"'help', 'jamie', 'dimon', 'bank', 'stock', 'jump'"
2016-02-16,"'risky', 'oil', 'investment', 'super', 'popular'"
2016-02-17,"'stock', 'post', 'first', 'three', 'day', 'rally'"
2016-02-17,"'bank', 'america', 'merrill', 'lynch', 'pares', 'rate', 'hike', 'outlook'"
2016-02-18,"'gold', 'storm', 'stock', 'struggle', 'extend'"
2016-02-18,"'banker', 'lose', 'billion', 'bonus', 'value', 'stock'"
2016-02-18,"'bank', 'wary', 'macro'"
2016-02-19,"'insight', 'big', 'bank', 'see', 'need', 'shrink', 'face', 'path', 'full'"
2016-02-20,"'catch', 'bank'"
2016-02-22,"'update', 'goldman', 'scale', 'back', 'estimate', 'legal'"
2016-02-22,"'republican', 'marco', 'rubio', 'winning', 'wall', 'street', 'fundraising'"
2016-02-23,"'dueling', 'scenario', 'stock'"
2016-02-24,"'ubs', 'others', 'reach', 'million', 'muni', 'bond', 'rigging'"
2016-02-24,"'move', 'merrill', 'lynch', 'name', 'sabina', 'mccarthy', 'vice'"
2016-02-26,"'bank', 'america', 'take', 'pct', 'stake', 'delta'"
2016-02-27,"'bank', 'stock', 'cheap'"
2016-03-02,"'goldman', 'unlikely', 'pursue', 'russian', 'bond', 'deal', 'pressure', 'state', 'dept'"
2016-03-02,"'money', 'manager', 'selling', 'popular', 'stock', 'creating', 'new'"
2016-03-02,"'private', 'bank', 'boost', 'art', 'advisory'"
2016-03-03,"'bank', 'america', 'rev', 'auto', 'loan', 'business', 'despite', 'warning'"
2016-03-04,"'corrected', 'update', 'bank', 'america', 'rev', 'auto', 'loan', 'business', 'despite', 'warning'"
2016-03-05,"'america', 'top', 'financial'"
2016-03-07,"'venezuela', 'opposition', 'go', 'nuclear', 'option'"
2016-03-07,"'symphony', 'financial', 'messaging', 'set', 'wide', 'rollout', 'year'"
2016-03-07,"'move', 'barclays', 'hire', 'investment', 'banker', 'boutique', 'cmc'"
2016-03-10,"'bank', 'america', 'stock', 'price', 'target', 'cut', 'keefe', 'bruyette'"
2016-03-10,"'chart', 'show', 'bad', 'negative', 'rate', 'stock'"
2016-03-10,"'exclusive', 'bank', 'america', 'hiring', 'banker', 'new', 'middle', 'market', 'push'"
