2016-01-01,"'business', 'refocus', 'investment'"
2016-01-08,"'stock', 'market', 'great', 'destroying', 'capital'"
2016-01-12,"'electronic', 'art', 'kroger', 'keep'"
2016-01-12,"'stock', 'winner', 'many', 'different'"
2016-01-25,"'whole', 'food', 'market', 'expensive', 'kroger', 'fresh', 'market', 'bad'"
2016-01-25,"'goldman', 'stock', 'buy', 'fear'"
2016-01-29,"'kroger', 'pick', 'fight', 'like', 'anheuser', 'busch', 'diageo', 'shelf'"
2016-02-10,"'whole', 'food', 'profit', 'fall', 'still', 'beat'"
2016-02-10,"'expect', 'whole', 'food'"
2016-02-11,"'fresh', 'market', 'stock', 'soar', 'report', 'interest', 'kroger', 'private', 'equity'"
2016-02-11,"'kroger', 'stock', 'slip', 'report', 'interest', 'fresh', 'market'"
2016-02-11,"'fresh', 'market', 'stock', 'soar', 'report', 'kroger'"
2016-02-12,"'kroger', 'started', 'buy', 'stock', 'price', 'target', 'stifel'"
2016-02-15,"'kroger', 'fresh', 'market', 'sprout', 'grocery', 'store', 'winner', 'barbell', 'shaped'"
2016-02-26,"'kroger', 'innovative', 'safe', 'category'"
2016-02-27,"'march', 'wish', 'list', 'stock', 'oil', 'price', 'correlation', 'need', 'get'"
2016-03-03,"'stock', 'close', 'higher', 'rd', 'day', 'energy', 'share', 'lead'"
2016-03-03,"'low', 'gas', 'price', 'good', 'consumer', 'le', 'costco'"
2016-03-03,"'correct', 'kroger', 'co', 'share', 'tumble', 'early', 'trade', 'lead'"
2016-03-03,"'oil', 'watch', 'steep'"
2016-03-03,"'morning', 'mover', 'costco', 'kroger', 'fall', 'earnings', 'alcoa', 'boeing', 'drop'"
2016-03-03,"'kroger', 'revenue', 'miss', 'store', 'sale'"
2016-03-03,"'kroger', 'share', 'fall', 'weaker', 'expected', 'sale'"
2016-03-03,"'kroger', 'see', 'fy', 'eps', 'factset', 'consensus'"
2016-03-03,"'kroger', 'share', 'premarket'"
2016-03-03,"'kroger', 'sale', 'bln', 'v'"
