2016-01-08,"'ten', 'thing', 'stop'"
2016-01-12,"'nearly', 'half', 'bear'"
2016-01-19,"'emerge', 'death', 'spiral'"
2016-01-22,"'dr', 'pepper', 'fastest', 'eps', 'growth', 'among', 'soda', 'stock'"
2016-01-22,"'nfl', 'next', 'manning', 'brady', 'already'"
2016-01-22,"'nfl', 'next', 'manning', 'brady', 'already'"
2016-01-23,"'trouble', 'looming', 'dividend'"
2016-01-26,"'search', 'durable', 'asian', 'growth'"
2016-02-05,"'coca', 'cola', 'buying', 'ready', 'bought'"
2016-02-06,"'free', 'snack', 'fly', 'american'"
2016-02-06,"'free', 'snack', 'fly', 'american'"
2016-02-07,"'disney', 'coca', 'cola', 'headline', 'consumer', 'heavy', 'earnings'"
2016-02-08,"'super', 'bowl', 'beer', 'bud'"
2016-02-09,"'expect', 'pepsico'"
2016-02-10,"'strategy', 'make', 'apple', 'amazon', 'starbucks'"
2016-02-11,"'dow', 'close', 'year', 'low', 'dogged', 'global', 'market'"
2016-02-11,"'brazil', 'socked', 'global', 'selloff', 'gol', 'battle'"
2016-02-11,"'one', 'thing', 'cushion', 'investor', 'stock', 'market', 'hit'"
2016-02-11,"'pepsi', 'said', 'venezuela', 'emerging'"
2016-02-11,"'pepsico', 'share', 'premarket'"
2016-02-11,"'pepsico', 'profit', 'outlook'"
2016-02-11,"'morning', 'mover', 'visa', 'mastercard', 'drop', 'merrill', 'downgrade', 'flower', 'food'"
2016-02-11,"'correction', 'pepsi', 'earnings'"
2016-02-11,"'pepsico', 'profit', 'top'"
2016-02-16,"'thing', 'never', 'buy'"
2016-02-20,"'dividend', 'boom', 'look'"
2016-02-22,"'mondelez', 'downgraded', 'venezuela', 'pain', 'oreo', 'brazil', 'russia'"
2016-02-25,"'company', 'hardest', 'time', 'selling', 'bond'"
2016-03-02,"'money', 'manager', 'selling', 'popular', 'stock', 'creating', 'new'"
2016-03-03,"'update', 'adios', 'venezuela', 'kimberly', 'clark', 'join', 'pepsi', 'mondelez', 'deconsolidation'"
2016-03-10,"'coke', 'stock', 'shoot', 'record'"
2016-03-10,"'four', 'reason', 'coca', 'cola', 'rbc', 'favorite'"
2016-03-12,"'taking', 'advantage', 'underpriced'"
2016-03-16,"'imposes', 'surprise', 'tax', 'sugary'"
2016-03-19,'barron'
2016-03-23,"'one', 'way', 'corporate', 'world', 'trying', 'infiltrate', 'social'"
2016-03-30,"'pepsico', 'north', 'america', 'snack', 'head'"
2016-03-30,"'pepsico', 'brings', 'three', 'north', 'american', 'division', 'one'"
2016-03-30,"'pepsico', 'fritolay', 'north', 'america', 'ceo'"
2016-03-31,"'nestl', 'noodle', 'face', 'scrutiny'"
2016-04-01,"'chipotle', 'foray', 'frozen', 'margarita', 'draft', 'beer', 'could', 'step', 'forward', 'analyst'"
2016-04-04,"'stock', 'hit', 'time', 'high'"
2016-04-07,"'dow', 'back', 'another', 'crack', 'first'"
2016-04-08,"'new', 'pick', 'stock', 'new', 'bond'"
2016-04-08,"'twitter', 'add', 'nonuser'"
2016-04-08,"'twitter', 'announces', 'two', 'new', 'board'"
2016-04-08,"'twitter', 'announces', 'two', 'new', 'board'"
2016-04-09,"'owen', 'illinois', 'glass', 'half'"
2016-04-14,"'expect', 'pepsico'"
2016-04-14,"'pepsico', 'downgraded', 'hold', 'buy', 'stifel'"
2016-04-16,"'deluge', 'weak', 'earnings', 'derail', 'stock'"
2016-04-16,"'fishing', 'global', 'growth'"
2016-04-18,"'dow', 'industrials', 'close', 'first', 'time', 'nine'"
2016-04-18,"'pepsico', 'warns', 'weak', 'world'"
2016-04-18,"'morning', 'mover', 'morgan', 'stanley', 'gain', 'earnings', 'joy', 'global', 'jump', 'merrill'"
2016-04-18,"'pepsico', 'profit', 'beat', 'estimate', 'wider'"
2016-04-18,"'pepsico', 'beat', 'profit', 'expectation', 'sale', 'fall'"
2016-04-18,"'pepsico', 'expected', 'report', 'earnings', 'cent', 'revenue'"
2016-04-18,"'pepsico', 'see', 'core', 'eps'"
2016-04-18,"'pepsico', 'adjusted', 'eps'"
2016-04-18,"'pepsico', 'revenue', 'billion', 'versus', 'billion', 'year'"
2016-04-18,"'pepsico', 'report', 'eps', 'v', 'year'"
2016-04-19,"'pepsico', 'using', 'grain', 'fruit', 'drink', 'snack', 'consumer', 'shun'"
2016-04-21,"'coca', 'cola', 'five', 'reason', 'buy'"
2016-04-23,"'stoner', 'holiday', 'went'"
2016-04-23,"'pepsico', 'old', 'fashioned'"
2016-04-23,"'rally', 'begs', 'question', 'time', 'take', 'profit'"
2016-04-23,"'marriott', 'share', 'could', 'rise'"
2016-04-26,"'twitter', 'post', 'disappointing', 'revenue'"
2016-04-26,"'twitter', 'revenue', 'user', 'growth', 'fall'"
2016-04-27,"'dr', 'pepper', 'top', 'estimate', 'strong', 'water'"
2016-04-28,"'buffalo', 'wild', 'wing', 'betting', 'soccer', 'revive', 'flagging', 'store'"
2016-05-03,"'soda', 'sale', 'mexico', 'rise', 'despite'"
2016-05-03,"'corporate', 'tax', 'avoidance', 'hurting', 'america', 'rest'"
2016-05-05,"'celestial', 'seasoning', 'restore', 'tea', 'package', 'design', 'poor', 'customer'"
2016-05-07,"'nike', 'tjx', 'others', 'likely', 'raise'"
2016-05-13,"'dow', 'drop', 'rd', 'consecutive'"
2016-05-13,"'bridgewater', 'sell', 'amazon', 'coke', 'gap', 'holding', 'adding', 'new', 'stake', 'alphabet'"
2016-05-13,"'bridgewater', 'cut', 'pepsico', 'stake', 'share'"
2016-05-13,"'pepsi', 'stock', 'accelerates', 'lower', 'trian', 'disclosed', 'dumped'"
2016-05-13,"'pepsico', 'stock', 'extends', 'slide', 'trian', 'fund', 'discloses', 'stake'"
2016-05-13,"'trian', 'fund', 'management', 'sell', 'entire', 'pepsico', 'stake'"
2016-05-14,"'time', 'break', 'ali', 'dibadj', 'think'"
2016-05-15,"'nightmare', 'keeping', 'executive', 'awake'"
2016-05-16,"'twitter', 'add', 'bet', 'chief', 'executive'"
2016-05-16,"'fund', 'roundup', 'mad', 'money', 'pick'"
2016-05-17,"'wrap', 'mixed', 'view', 'apple', 'gold', 'top'"
2016-05-17,"'company', 'keep', 'getting'"
2016-05-18,"'venezuela', 'rising', 'oil', 'price', 'help', 'economy'"
2016-05-21,"'beyonc', 'discovered', 'next', 'coconut', 'water'"
2016-05-21,"'pepsico', 'pop', 'despite', 'activist'"
2016-05-27,"'bad', 'venezuela', 'coke', 'halted', 'worker', 'get'"
2016-05-28,"'venezuela', 'brink', 'default'"
2016-05-31,"'earnings', 'fall', 'fastest', 'rate', 'since', 'great'"
2016-06-03,"'starbucks', 'transform', 'tea', 'market', 'like'"
2016-06-06,"'venezuela', 'must', 'read', 'hyperinflation', 'vatican', 'way'"
2016-06-07,"'serena', 'williams', 'highest', 'paid', 'female', 'athlete'"
2016-06-08,"'pepsico', 'weighs', 'another', 'fix', 'diet'"
2016-06-09,"'icahn', 'einhorn', 'ackman', 'loeb', 'changed', 'way', 'business'"
2016-06-09,"'today', 'top', 'stock', 'pick', 'dominant'"
2016-06-11,"'home', 'depot', 'good', 'time'"
2016-06-12,"'winner', 'walmart', 'oreo', 'cookie', 'contest', 'cause', 'universe', 'implode', 'upon'"
2016-06-17,"'philadelphia', 'first', 'large', 'city', 'approve', 'sweetened', 'beverage'"
2016-06-17,"'philadelphia', 'first', 'large', 'city', 'approve', 'sweetened', 'beverage'"
2016-06-17,"'monster', 'beverage', 'new', 'soda', 'make', 'stock'"
2016-06-20,"'three', 'stock', 'could', 'crater', 'brexit', 'becomes'"
2016-06-22,"'eat', 'swapping', 'mcdonald'"
2016-06-27,"'pepsico', 'reintroduce', 'aspartame', 'diet'"
2016-06-27,"'diet', 'pepsi', 'sucralose', 'healthier', 'aspartame'"
2016-06-27,"'pepsico', 'bring', 'back', 'diet', 'pepsi'"
2016-06-27,"'pepsico', 'reintroduce', 'diet', 'pepsi', 'aspartame'"
2016-06-29,"'crystal', 'pepsi', 'returning', 'store'"
2016-07-01,"'fitch', 'venezuela', 'inflation', 'gdp', 'decline'"
2016-07-02,"'stock', 'need', 'keep', 'post', 'brexit', 'rebound'"
2016-07-02,'cash'
2016-07-02,"'krona', 'fire'"
2016-07-05,"'market', 'minute', 'turbulence'"
2016-07-06,"'expect', 'pepsico'"
2016-07-06,'pepsico'
2016-07-07,"'pepsi', 'venezuela', 'latin', 'america', 'drain', 'multinationals'"
2016-07-07,"'stock', 'end', 'mostly', 'lower', 'ahead', 'job', 'report', 'oil', 'loss'"
2016-07-07,"'whitewave', 'food', 'expect', 'better', 'offer'"
2016-07-07,"'pepsi', 'raise', 'outlook', 'earnings', 'beat'"
2016-07-07,"'fight', 'central', 'bank', 'gang', 'might', 'hand', 'u', 'dow'"
2016-07-07,"'pepsico', 'share', 'premarket'"
2016-07-07,"'morning', 'mover', 'pepsico', 'jump', 'earnings', 'whitewave', 'soar'"
2016-07-07,"'pepsi', 'raise', 'outlook', 'earnings', 'beat'"
2016-07-07,"'pepsico', 'second', 'quarter', 'earnings', 'beat', 'wall', 'street'"
2016-07-07,"'pepsico', 'see', 'share', 'repurchase', 'billion'"
2016-07-07,"'pepsico', 'share', 'premarket', 'following'"
2016-07-07,"'pepsico', 'sale', 'billion', 'line', 'factset'"
2016-07-07,"'pepsico', 'sale', 'billion', 'v', 'billion', 'year'"
2016-07-07,"'pepsico', 'adjusted', 'eps', 'v', 'factset', 'estimate'"
2016-07-07,"'pepsico', 'adjusted', 'eps', 'v', 'year'"
2016-07-07,"'pepsico', 'net', 'eps', 'v', 'year'"
2016-07-08,"'pepsico', 'yes'"
2016-07-09,"'investor', 'get', 'another', 'bite', 'hostess'"
2016-07-11,"'wal', 'mart'"
2016-07-15,"'venezuela', 'bond', 'risk', 'military', 'take'"
2016-07-18,"'monster', 'beverage', 'time', 'kick'"
2016-07-20,"'today', 'top', 'stock', 'pick', 'fund', 'beating'"
2016-07-26,"'expect', 'coca', 'cola'"
2016-07-27,"'coca', 'cola', 'fizz'"
2016-08-01,"'cheetos', 'burrito', 'taco', 'bell', 'announced', 'ultimate', 'food'"
2016-08-03,"'saatchi', 'saatchi', 'exec', 'kevin', 'robert'"
2016-08-03,"'publicis', 'exec', 'gender', 'diversity'"
2016-08-03,"'sodastream', 'sparkling', 'water', 'make', 'splash', 'japan', 'whiskey', 'soda'"
2016-08-05,"'kraft', 'heinz', 'must', 'something', 'right'"
2016-08-08,"'money', 'pouring', 'drone', 'racing', 'first', 'espn', 'broadcast', 'take'"
2016-08-12,"'stock', 'engaging', 'good', 'buyback', 'yes', 'gilead', 'made'"
2016-08-16,"'twitter', 'want', 'turn', 'photo'"
2016-08-17,"'buy', 'insurance', 'boogeyman', 'lurking'"
2016-08-24,"'kid', 'would', 'rather', 'watch', 'youtube', 'eat', 'mcdonald'"
2016-08-24,"'soda', 'consumption', 'fall', 'berkeley', 'sugar'"
2016-08-26,"'franklin', 'fund', 'manager', 'load', 'bank', 'profit'"
2016-08-26,"'russia', 'beer', 'trend', 'economy', 'bottoming'"
2016-08-29,"'tingyi', 'profit', 'tumble', 'time', 'sell', 'daiwa', 'see'"
2016-08-30,"'mondelez', 'next', 'kissing', 'hershey'"
2016-08-31,"'stock', 'fund', 'routinely', 'beat'"
2016-09-09,"'dividend', 'aristocrat', 'stock', 'post', 'almost', 'double', 'return'"
2016-09-13,"'china', 'staple', 'soar', 'hot', 'summer', 'retail', 'surprise', 'macquarie', 'upgrade'"
2016-09-14,"'coke', 'pepsi', 'one', 'takeover', 'target'"
2016-09-16,"'pepsico', 'initiated', 'credit', 'suisse', 'outperform', 'rating', 'price', 'target'"
2016-09-20,"'etf', 'bet', 'company', 'female', 'leadership'"
2016-09-20,"'etf', 'bet', 'company', 'female', 'leadership'"
2016-09-24,"'buy', 'low', 'sell', 'really', 'high', 'stock'"
2016-09-24,"'stock', 'predict', 'presidential'"
2016-09-26,"'clinton', 'trump', 'debate', 'showdown', 'carry', 'potential', 'sock'"
2016-09-26,"'russia', 'top', 'wheat', 'exporter', 'proving', 'sanction'"
2016-09-29,"'pepsico', 'lift', 'outlook', 'earnings', 'beat'"
2016-09-29,"'stock', 'asset', 'fact', 'bubble', 'buffett', 'favorite'"
2016-09-29,"'morning', 'mover', 'transocean', 'slide', 'icahn', 'cut', 'stake', 'pepsico'"
2016-09-29,"'pepsico', 'boost', 'outlook', 'earnings'"
2016-09-29,"'pepsi', 'stock', 'climb', 'profit', 'sale', 'beat', 'upbeat'"
2016-09-29,"'pepsico', 'share', 'climb', 'premarket', 'profit'"
2016-09-29,"'pepsico', 'profit', 'jump', 'reflects', 'impact', 'venezuela', 'impairment'"
2016-09-29,"'pepsico', 'revenue', 'fall', 'bln', 'v', 'bln', 'year'"
2016-09-29,"'pepsico', 'eps', 'rise', 'v', 'cent', 'year'"
2016-09-29,"'pepsico', 'profit', 'jump', 'bln', 'v', 'mln', 'year'"
2016-09-30,"'pepsi', 'earnings', 'said', 'emerging'"
2016-10-04,"'corportate', 'earnings', 'estimate', 'low'"
2016-10-08,"'janus', 'deal', 'take'"
2016-10-14,"'one', 'change', 'turn', 'company', 'vision', 'statement', 'mumbo', 'jumbo', 'something'"
2016-10-15,"'yum', 'brand', 'spin', 'china'"
2016-10-17,"'market', 'soon', 'know', 'headed'"
2016-10-17,"'pepsico', 'set', 'goal', 'reduce', 'sugar', 'saturated', 'fat', 'product'"
2016-10-17,"'pepsico', 'expects', 'least', 'two', 'third', 'beverage', 'calorie', 'le', 'added', 'sugar'"
2016-10-17,"'pepsico', 'seeking', 'water', 'improvement', 'across', 'agricultural', 'supply', 'chain'"
2016-10-17,"'pepsico', 'plan', 'reduce', 'greenhouse', 'gas', 'emission', 'across', 'value', 'chain'"
2016-10-25,"'expect', 'coca', 'cola'"
2016-10-26,"'coca', 'cola', 'fought', 'regulation', 'around', 'world', 'keep', 'advertising', 'kid', 'according', 'hacked'"
2016-11-09,"'soda', 'tax', 'approved', 'four'"
2016-11-10,"'chicago', 'becomes', 'th', 'city', 'ok', 'soda', 'tax'"
2016-11-12,'pharma'
2016-11-12,"'dow', 'climb', 'heel', 'trump'"
2016-11-15,"'company', 'reorganization', 'fail', 'make'"
2016-11-19,"'soon', 'return', 'turkish'"
2016-11-21,"'turkey', 'investing', 'watch', 'central', 'bank', 'deutsche'"
2016-11-22,"'pepsi', 'dr', 'pepper', 'buy', 'line', 'healthy'"
2016-12-02,"'monster', 'beverage', 'nascar', 'start', 'engine'"
2016-12-09,"'coca', 'cola', 'buffett', 'departure', 'come'"
2016-12-11,"'healthier', 'food', 'quite', 'pepsi', 'customer'"
2016-12-13,"'coca', 'cola', 'new', 'ceo', 'make', 'acquiring', 'monster', 'business'"
