1,Barack Obama,BarackObama
2,Donald J. Trump ,realDonaldTrump
3,President Trump ,POTUS
4,Hillary Clinton ,HillaryClinton
5,President Obama ,POTUS44
6,Melania Trump ,FLOTUS
7,Bill Clinton ,BillClinton
8,Bernie Sanders ,BernieSanders
9,Bernie Sanders ,SenSanders
10,Vice President Mike Pence ,VP
11,Alexandria Ocasio-Cortez ,AOC
12,Elizabeth Warren ,SenWarren
13,Cory Booker ,CoryBooker
14,Stephanie Grisham ,PressSec
15,Mike Pence ,Mike_Pence
16,Joe Biden Text Join to 30330) ,JoeBiden
17,Marco Rubio ,marcorubio
18,Nancy Pelosi ,SpeakerPelosi
19,Elizabeth Warren ,ewarren
20,Paul Ryan ,SpeakerRyan
21,Ted Cruz ,tedcruz
22,Kamala Harris ,KamalaHarris
23,John Kerry ,JohnKerry
24,Kellyanne Conway ,KellyannePolls
25,John McCain ,SenJohnMcCain
26,Al Gore ,algore
27,Mike Bloomberg ,MikeBloomberg
28,Senator Rand Paul ,RandPaul
29,NASA HQ PHOTO ,nasahqphoto
30,Ben & Candy Carson ,RealBenCarson
31,GOP ,GOP
32,Newt Gingrich ,newtgingrich
33,Chuck Schumer ,SenSchumer
34,Mitt Romney ,MittRomney
35,Adam Schiff ,RepAdamSchiff
36,Pete Buttigieg ,PeteButtigieg
37,The Democrats ,TheDemocrats
38,Beto O'Rourke ,BetoORourke
39,Archive: Ambassador Nikki Haley ,AmbNikkiHaley
40,Gov. Mike Huckabee ,GovMikeHuckabee
41,Boris Johnson ,BorisJohnson
42,Lindsey Graham ,LindseyGrahamSC
43,Kirsten Gillibrand ,SenGillibrand
44,Team Trump Text TRUMP to 88022) ,TeamTrump
45,Sarah Palin ,SarahPalinUSA
46,Gavin Newsom ,GavinNewsom
47,Senator Ted Cruz ,SenTedCruz
48,Senator Dianne Feinstein ,SenFeinstein
49,Jeb Bush ,JebBush
50,John Boehner ,SpeakerBoehner
51,Leader McConnell ,senatemajldr
52,Luis Almagro ,Almagro_OEA2015
53,Ana Navarro-Cárdenas ,ananavarro
54,Mayor Bill de Blasio ,NYCMayor
55,Preet Bharara ,PreetBharara
56,Maxine Waters ,RepMaxineWaters
57,Jack Phan ,JackPhan
58,David Axelrod ,davidaxelrod
59,Rep. Jim Jordan ,Jim_Jordan
60,Trey Gowdy ,TGowdySC
61,John Lewis ,repjohnlewis
62,Jerry Brown ,JerryBrownGov
63,Kamala Harris ,SenKamalaHarris
64,Tim Kaine ,timkaine
65,House Democrats ,HouseDemocrats
66,Amy Klobuchar ,amyklobuchar
67,John Kasich ,JohnKasich
68,Reince Priebus ,Reince
69,John Bolton ,AmbJohnBolton
70,Governor Christie ,GovChristie
71,Chris Murphy ,ChrisMurphyCT
72,Andrew Cuomo ,NYGovCuomo
73,Anthony Scaramucci ,Scaramucci
74,Joe Trippi ,JoeTrippi
75,Rep. Joe Kennedy III ,RepJoeKennedy
76,Tulsi Gabbard 🌺 ,TulsiGabbard
77,Paul Ryan ,PRyan
78,Robert Reich ,RBReich
79,Al Franken ,alfranken
80,Allen West ,AllenWest
81,Rep. Eric Swalwell ,RepSwalwell
82,Kevin McCarthy ,GOPLeader
83,Dan Scavino ,DanScavino
84,Carly Fiorina ,CarlyFiorina
85,Jeff Flake ,JeffFlake
86,Karl Rove ,KarlRove
87,Donna Brazile ,donnabrazile
88,Senator Dick Durbin ,SenatorDurbin
89,Ron Paul ,RonPaul
90,Richard Blumenthal ,SenBlumenthal
91,Andrew Gillum ,AndrewGillum
92,Stacey Abrams ,staceyabrams
93,Rep. Ilhan Omar ,Ilhan
94,Dan Pfeiffer ,danpfeiffer
95,Christine Lagarde ,Lagarde
96,Reverend Al Sharpton ,TheRevAl
97,Susan Rice -Archived ,AmbRice44
98,Katrina Pierson ,KatrinaPierson
99,Jason Chaffetz ,jasoninthehouse
100,Mike Lee ,SenMikeLee
