,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
479,0,5,1,129.5,4,2,94.9
480,2,2,2,52.9,8,0,98.9
481,1,4,1,51.0,5,0,5.1
482,0,4,0,117.1,4,2,82.7
483,1,1,1,66.5,9,0,123.4
484,0,3,1,139.9,6,2,70.9
485,0,7,0,136.4,5,0,72.5
486,1,3,3,39.0,7,0,102.4
487,0,2,0,105.1,6,0,69.4
488,1,5,2,96.1,6,0,105.5
489,0,3,0,125.6,4,1,93.3
490,1,1,1,62.5,5,0,70.9
491,0,3,0,83.3,5,0,95.5
492,0,0,2,79.7,6,0,129.2
493,1,4,3,65.3,9,1,125.7
494,0,1,0,102.0,4,2,94.2
495,0,1,2,28.2,5,1,98.8
496,2,1,0,83.5,6,0,120.1
497,2,2,0,82.3,6,0,79.6
498,0,0,0,74.4,6,1,91.0
499,1,4,0,114.9,7,1,128.2
500,0,4,1,72.2,6,1,129.2
501,1,3,2,66.8,5,1,94.7
502,0,4,0,76.9,9,0,89.5
503,0,3,1,87.2,2,0,68.8
504,1,1,1,114.6,6,0,107.5
505,0,1,0,86.3,7,0,117.6
506,1,1,0,74.1,6,2,112.7
508,1,2,0,66.6,6,0,125.1
507,0,2,0,65.1,7,1,119.8
509,0,5,1,78.9,6,0,107.7
510,1,2,1,58.5,6,0,101.5
511,0,6,0,107.0,2,1,48.5
512,1,3,0,107.8,3,0,65.7
513,2,5,2,65.3,7,0,92.4
514,1,3,1,138.4,6,0,90.4
515,1,4,1,118.9,8,0,113.0
516,0,4,1,58.2,6,0,50.2
517,0,5,0,88.4,4,0,75.7
518,0,3,1,39.2,6,1,58.9
519,2,3,0,81.1,4,1,94.7
520,1,1,2,45.2,5,1,75.1
522,3,1,1,64.8,5,1,127.4
521,0,1,0,107.8,2,0,45.2
523,2,2,2,123.2,6,0,103.7
524,1,4,0,115.3,6,0,83.0
525,0,4,0,101.2,5,1,117.7
526,0,2,0,81.5,2,3,99.3
527,1,3,1,59.8,5,1,83.2
534,0,0,0,71.2,4,3,77.2
528,0,1,0,45.8,5,1,75.1
529,2,1,0,120.1,5,0,81.1
530,1,1,0,114.6,7,0,107.2
531,0,2,1,74.6,1,0,42.6
532,0,4,0,115.4,4,0,60.7
533,1,2,1,78.2,7,1,115.5
536,0,1,2,73.4,8,2,127.9
537,2,3,1,86.5,4,2,84.0
535,1,3,1,96.7,3,1,78.8
538,0,1,1,102.4,6,0,83.2
539,0,3,1,109.0,5,1,119.9
540,0,3,1,86.3,6,0,99.4
541,1,2,0,140.1,4,1,69.4
542,1,1,2,72.8,4,0,69.7
543,2,2,2,104.2,4,1,83.2
544,1,5,2,84.3,7,0,103.3
545,1,3,0,55.6,3,0,46.8
546,2,2,1,92.3,4,1,63.5
547,0,0,0,103.0,7,1,81.0
548,1,4,0,89.0,4,0,68.4
549,1,4,1,82.3,3,1,56.8
550,0,3,1,88.8,2,0,37.7
553,3,2,2,115.4,6,1,104.6
551,1,0,2,71.0,7,0,87.6
552,1,2,0,57.5,8,1,156.7
554,1,2,0,96.7,6,1,110.4
555,0,5,0,71.9,4,2,52.9
556,0,5,0,87.8,5,0,75.0
557,0,2,3,48.1,7,0,124.7
558,1,2,2,91.3,4,1,112.0
559,2,1,0,102.2,6,0,59.4
560,1,2,0,87.3,7,0,92.7
561,0,3,2,97.1,6,0,106.9
562,2,2,0,51.3,6,1,112.8
563,0,5,0,69.8,6,0,77.4
564,0,2,1,79.3,5,2,133.7
565,1,2,0,54.2,7,2,45.3
567,1,0,1,83.2,7,1,97.2
566,0,6,0,87.4,2,2,51.9
568,0,3,1,133.8,5,0,45.4
569,2,5,0,129.0,5,1,54.1
570,0,2,1,38.7,4,0,74.5
571,0,3,0,132.2,5,3,82.4
572,0,4,2,93.6,6,1,109.8
573,0,1,0,130.1,5,3,115.2
574,0,1,1,45.4,8,0,100.7
575,0,1,1,96.0,4,1,74.8
576,1,2,0,98.5,3,2,73.4
577,3,4,3,108.9,6,0,78.9
578,1,2,2,88.0,4,1,35.5
579,1,4,1,80.3,7,0,74.4
580,1,8,0,90.3,5,0,95.2
581,1,5,0,89.6,4,1,56.4
582,3,1,1,74.8,4,0,76.3
583,0,1,0,104.2,4,1,74.8
584,0,3,3,70.8,6,2,121.0
585,0,7,1,57.0,4,0,83.3
586,0,5,1,137.4,4,3,84.3
587,1,1,1,96.8,5,0,101.7
588,1,2,2,80.6,5,1,93.1
589,1,2,2,65.1,2,1,55.9
590,0,5,1,125.0,2,3,78.1
591,0,1,1,89.5,5,0,110.7
592,1,4,0,87.0,3,3,65.6
593,0,2,0,83.8,5,0,68.1
594,1,6,0,58.4,5,2,58.3
595,0,1,3,72.8,6,0,138.9
596,0,0,0,157.1,2,4,68.6
597,3,1,0,68.3,6,0,125.0
598,0,4,0,105.8,6,1,81.3
599,1,4,1,83.1,4,1,126.8
600,1,3,2,69.7,6,0,96.9
601,0,2,1,90.9,6,0,105.6
602,0,3,1,94.6,6,1,44.4
603,1,7,1,138.1,3,1,71.1
604,0,3,0,93.6,3,1,81.0
605,0,3,0,100.1,4,5,74.2
607,1,1,0,37.3,6,3,131.3
606,1,1,1,108.6,6,2,85.3
608,1,4,2,98.7,5,0,41.1
609,0,2,0,109.3,5,0,102.8
610,1,4,2,72.4,5,0,128.2
611,1,1,1,80.1,3,2,70.3
619,1,5,0,104.2,8,0,114.2
618,2,2,2,56.0,6,2,127.6
617,0,3,1,89.6,2,0,42.4
616,0,1,0,109.1,7,1,137.5
613,2,2,2,93.4,10,1,112.5
614,2,3,1,99.7,8,0,96.1
612,2,2,0,103.1,4,0,74.0
615,0,2,2,100.7,6,0,113.8
620,2,1,1,47.4,5,1,139.8
621,0,5,0,122.1,5,1,94.5
622,0,3,0,42.9,3,2,39.2
623,0,1,1,46.0,5,1,74.6
624,1,3,0,46.9,5,0,80.5
630,1,5,2,128.0,8,0,121.7
632,1,0,1,93.8,5,1,93.2
631,1,3,2,73.5,5,1,95.8
629,0,3,3,109.8,2,1,75.4
628,1,0,1,40.5,5,1,158.3
627,1,2,1,48.5,5,0,40.5
626,0,4,1,106.4,5,1,54.0
625,0,5,1,116.6,3,5,67.4
633,0,6,0,134.4,4,3,76.3
634,1,4,0,63.2,10,0,127.2
635,1,1,2,74.8,8,0,92.4
636,0,2,0,75.5,3,1,51.1
637,0,3,1,52.7,7,0,133.1
638,0,3,1,78.0,6,0,85.5
639,0,4,0,131.8,7,1,84.1
640,1,8,0,144.5,4,3,94.8
648,0,4,0,65.2,4,0,71.9
647,0,1,0,64.7,5,1,108.0
646,0,3,0,90.5,4,0,47.9
645,0,0,0,125.9,4,0,97.1
644,1,1,2,64.1,6,0,109.0
643,5,1,0,38.7,5,0,78.7
642,1,3,0,110.0,6,0,94.0
641,2,3,3,58.2,6,1,86.5
649,0,1,2,86.6,4,1,91.0
650,1,5,0,90.6,4,3,86.1
651,0,3,0,100.5,3,2,44.7
652,1,3,1,80.8,7,2,114.4
653,0,4,0,125.0,6,1,89.2
654,0,1,0,37.6,6,0,78.5
663,0,2,2,70.8,8,0,84.8
662,0,1,0,121.2,5,3,132.1
661,0,2,2,28.0,2,0,37.8
660,1,4,1,104.9,4,1,119.6
656,1,2,3,57.8,7,1,88.4
658,0,1,0,74.8,5,2,66.2
657,0,2,1,95.8,3,2,49.2
659,0,3,0,41.9,6,0,98.0
655,1,2,1,83.9,2,1,81.3
664,0,1,1,72.8,6,0,103.2
665,1,3,0,66.9,3,1,62.8
666,1,3,0,76.0,5,0,61.9
667,0,5,2,88.2,4,1,86.3
668,1,1,1,96.6,7,1,150.5
669,0,2,0,98.0,4,0,101.9
670,0,2,0,95.8,3,0,101.1
680,0,2,2,68.4,4,0,53.8
679,0,3,2,94.1,6,1,110.1
678,0,3,0,74.6,6,0,76.1
677,1,2,2,98.6,4,0,79.2
676,1,2,0,121.4,7,0,116.4
675,0,1,1,53.5,7,0,79.4
674,0,0,0,71.4,6,0,50.6
673,2,4,0,79.1,3,3,41.3
672,0,5,1,87.4,4,1,87.9
671,0,3,1,62.9,4,0,93.9
681,1,3,3,74.1,5,0,100.2
682,4,1,1,17.3,11,1,84.7
683,2,6,1,75.1,9,0,99.6
684,1,4,2,74.7,6,0,80.7
685,0,1,2,67.7,7,0,110.4
686,2,7,1,74.2,4,0,62.7
694,2,2,2,116.8,4,1,72.5
693,0,7,1,104.4,4,2,66.8
692,0,2,3,73.3,6,1,119.9
691,1,1,3,43.0,8,0,124.6
687,0,2,1,83.9,4,3,94.3
689,1,1,0,95.6,8,0,109.7
688,0,6,0,94.9,4,2,76.5
690,1,0,3,38.9,7,0,142.6
695,0,5,1,104.4,3,1,60.9
696,1,2,1,99.4,2,0,96.5
697,1,2,2,37.6,7,0,58.4
698,0,0,3,53.6,5,0,77.4
699,1,1,0,93.6,6,0,111.3
700,1,5,2,108.5,7,6,68.9
701,1,3,0,30.2,3,0,79.5
702,0,4,0,142.6,5,4,82.7
713,0,1,2,54.3,4,0,75.4
712,1,4,1,81.8,3,0,70.0
711,0,3,0,74.4,4,1,32.8
710,0,4,1,105.3,4,1,73.3
709,0,4,1,102.4,5,4,85.9
703,1,3,1,58.8,3,1,58.6
707,0,2,0,114.2,6,1,123.8
706,0,1,2,41.0,10,3,122.0
705,0,5,0,73.9,5,2,59.9
704,3,2,1,75.9,5,0,93.8
708,1,0,0,81.7,4,4,52.4
714,1,1,3,81.1,7,0,106.6
716,0,3,0,78.0,8,0,114.2
715,1,2,0,76.8,4,2,53.6
717,1,2,1,72.0,7,0,111.9
240,0,0,1,69.4,8,0,141.1
248,1,1,1,96.8,6,1,113.6
250,1,0,0,115.7,2,0,97.2
249,0,2,0,94.4,1,1,36.3
246,1,1,0,97.2,5,1,93.2
245,0,4,0,82.3,3,4,48.4
247,1,1,0,67.9,5,0,78.6
243,1,0,2,63.1,7,1,96.8
242,0,4,1,74.0,2,1,76.7
241,2,1,1,76.4,4,0,105.5
244,0,0,1,70.6,4,1,127.9
251,1,3,0,96.6,7,0,100.7
252,1,2,0,102.6,7,1,129.4
253,3,1,0,102.3,8,0,90.8
254,2,3,1,112.6,6,2,77.7
255,0,1,2,110.0,5,1,95.5
256,1,1,0,27.6,4,0,71.0
265,2,6,2,75.3,5,0,97.7
264,0,4,1,92.1,4,0,76.6
262,1,1,1,107.4,5,1,79.7
261,0,2,2,104.2,7,1,146.0
263,0,1,2,87.8,6,0,117.8
