quality_of_some_random_wine,ph_of_some_random_wine,density_of_some_random_wine,random_year,random_day,volume_disney_stock_traded_on_day_of_year,name_of_random_vegan_restaurant,city_of_random_vegan_restaurant,pricerange_of_random_vegan_restaurant,random_basketball_team,region_of_random_team,seed_of_random_team_in_year,text_of_random_book_review
7,3.16,0.99408,1986,03-03,7461400,Monical's Pizza,Paxton,,Louisville,Final Four,2,Very good book I totally enjoyed it. I would highly recommend it to anyone looking for a great book to read.
6,3.27,0.9958,2010,03-03,10345500,Science Club,Washington,$$,Oakland,West,14,"A Song of Fire and Ice is one of the few fantasy series which becomes more enjoyable with each novel released. A Dance with Dragons was a long time coming but the wait was worth it.About half of the main characters were missing from A Feast for Crows, so I thought that Dance would show the same period of time from different viewpoints instead of advancing the story. This is not the case.About 1/4th of Dance overlaps with the previous novel. After that the overall plot advances and takes some interesting turns. Characters absent from Feast such as Jon Snow and Tyrion tell the majority of Dance, but Jaime, Arya, and others also have a few chapters.Martin has not dropped the ball. A Dance with Dragons is just as good as Game of Thrones, and even more fun to read."
5,3.45,0.9961,2009,07-09,9779600,Watercress,Ithaca,,Purdue,West,5,"This book had a bit of everything! At first I did not think I would be interested in reading about a circus, but that quickly changed!!!!"
4,3.4,0.9932,2014,02-20,5748700,I-green,,USD 25.00-40.00,Stephen F Austin,South,12,"I've read two other previous books by Hemingway. Feel free to read those reviews as well. In his best piece, Old Man and the Sea, Hemingway describes a man's courage and conviction in a mini-epic struggle between and elderly man and the greatest catch of his life (a giant marlin). In another book, The Sun also Rises, Hemingway paints a very rich and colorful portraitt of Spain and Pamplona that I could not sum up in a few sentences. Both books create a vivid picture almost unequaled in literature.This book, however, does nothing of the sort. Excluding a side story that concerns the massacre of a town of locals, it is repetitive, boring, and provides little insight. The majority of this 450 page book takes place in one cave and provides very little substance. Personally, no picture was painted for me, no human character was exposed, and no real lasting meaning came from this book.I grew tired of the cave, tired of the speculation about killing the Guerilla leader Pablo, and bored of the lightweight, unreal romance. An editor could have spliced away pages 200-400, and the book would have not missed a beat.If you're a casual reader like myself, stick with other Hemingway works."
6,3.31,0.9953,2015,01-06,6793100,Marie Catrib's,,USD 25.00-40.00,San Diego St,South,8,"Seeing Jacob young and old, and hearing how time affected him, and how he still remained connected to his history after all those years was great. It really added to the book and really tied the story together for me. It was very dramatic for me to see how this once active and interesting man was effected by the years, and what age does to a person. It made me think how we cast aside many of our elderly friends and folks not paying attention to their stories. Especially key when thinking alone about Jacob's past. I have a great love and respect for elephants and at many times i was so angered in the story and could feel the emotions that Jacob was experiencing. It was such a strong event that occurred with Rosie, and without giving the story away was vindicating. Really don't want to watch the movie now as afraid would not live up to how i imagined everything or if they changed the story too much."
6,3.23,1.00098,1991,03-21,4583600,Zaw Artisan Pizza - Redmond,Redmond,,Murray St,Southeast,13,I ordered this book for my kindle wireless the book was a great read I enjoyed it very much read it
6,3.36,0.9982,1993,09-22,9920800,Happy Mangos - Closed,Waimea,,Memphis,Southeast,10,"This was a great book, the only problem was I finished it too quickly because it was so good!"
6,3.24,0.99288,2011,07-15,18304900,La Salsa Fresh Mexican Grill,Milpitas,,Akron,Southwest,15,"I enjoyed this book. It was good to see karma come back on some of the characters. I liked where Bran ended up. Good for him! Interesting ending. How will book seven conclude? Will the winter come and darkness fall? What is up with Stannis? Lightbringer is bright, but without warmth. Is Dany some sort of savior, making Stannis the tricksy, oblivious antichrist? He means well. Is his red preistess lady aware, or are her fires decieving her? Will the unending summer come? Will all the starks be reunited, living and dead? The saga is so bleak and unpredictable. Will we have the traditional happy fantasy ending, or will the game continue, generation after generation, as the gods, old and new, watch with indifference, only half-ass intervening(if they intervene at all) Alas, I do not know..As usual it was somewhat tedious and the characters were hard to keep track of, but oh, well."
6,3.72,0.9952,1995,03-02,2066700,Juice Press,New York,,Georgetown,Southeast,6,"I am just aghast at the number of non-five-star ratings this book has received. The answer probably likes in the sophistication of the particular reviewers who are underrating this masterpiece. I don't want to make this sound arrogant or patronizing, but the great thing about the Internet (and Amazon reviewing) is that anyone can review, while the awful thing about the Internet is that anyone can review. I'm not sure what else one could want out of a Sci-fi novel than what you find here. My guess is that those who dislike it tend to prefer space opera or pure adventure books. But if you have any capacity to read good literature this novel will almost undoubtedly knock your socks off.RED MARS has been almost universally praised by Sci-fi writers and academics as one of the finest hard science Sci-fi novels in recent decades. Partly as a result of the influence of Philip K. Dick (my favorite Sci-fi writer, but someone who was almost completely uninterested in the ""science"" in Sci-fi but instead focused on metaphysical dilemmas), STAR TREK, and STAR WARS, Sci-fi has been less and less focused on science in the past few decades and instead has been more concerned with exploring questions like ""what is real?"" or adventure stories. Time was when the most denigrated form of Sci-fi was the space opera. Robinson's Mars Trilogy is the triumphant return of hard science in novelistic form. But RED MARS is far more than that. It is as political as it is scientific. I can imagine that a few of the people giving the novel low marks are troubled by Robinson's politics, which are further to the left than any prominent politician in America today. It isn't an accident that many Marxist writers, including Fredric Jameson, who Robinson thanks in the Acknowledgments, love Robinson's dystopian take on role of capitalism in forming the world we live in, either on earth (as in his Pacific trilogy) or on new worlds (as here in the Mars books). If you are a big fan of an unbridled free market capitalism (which by its very nature is utopian, in that it continually describes a world that doesn't exist, but insists could if only we would free the market from all political and social restraint) then this isn't a novel that will warm the laissez-faire cockles of your heart. This is capitalism as rapacious, inhuman, and imperialistic.I find the epic sweep of Robinson's vision to be almost overwhelming. He balances almost perfectly scientific, political, social, and narrative concerns. His characters are both many and richly drawn. His Mars exists in a way that only rarely do Sci-fi writers make possible. I can't point to many writers who have made their imaginary world so tangible and believable. I don't have the scientific expertise to address the plausibility of the many terraforming and climate altering techniques and tactics addressed in the novels, but I never found anything in the book to be absurd or silly.I loved the various components making up this book. And the characters are more developed and vivid than in most Sci-fi novels. While John Boone never really emerged for me as a believable character, many of the others like Frank, Maya, Nadia, the irrepressible Arkady, Ann, Sax, and many others did. Thanks to gene therapy that helps extend life by renewing the genetic structure of the body, many, though not all, of these characters make it into GREEN MARS or even into BLUE MARS. The trilogy itself extends over several decades. I can recommend few works of fiction as highly as I recommend this. But if you are looking for a great yarn rather than a great novel, look elsewhere. This probably isn't for you. But if you are instead looking for a truly great novel, for a trilogy that might represent the apex of Sci-fi writing of the past twenty years, do yourself a favor and read not just RED MARS, but the two other novels in the trilogy as well."
6,3.13,0.99368,2004,10-18,6604800,Sorrento Pizza - Clinton Twp,Clinton Twp,USD 25.00 - USD 40.00,Illinois,South,5,"Loved, loved, loved all 5, so hooked. I hope there is more and will definately read any thing else he has written."
