artist,date,song,position
Jason Derulo,2011-06-04,Don't Wanna Go Home,92
Jason Derulo,2011-06-11,Don't Wanna Go Home,18
Jason Derulo,2011-06-18,Don't Wanna Go Home,17
Jason Derulo,2011-06-25,Don't Wanna Go Home,18
Jason Derulo,2011-07-02,Don't Wanna Go Home,14
Jason Derulo,2011-07-09,Don't Wanna Go Home,17
Jason Derulo,2011-07-16,Don't Wanna Go Home,18
Jason Derulo,2011-07-23,Don't Wanna Go Home,16
Jason Derulo,2011-07-30,Don't Wanna Go Home,18
Jason Derulo,2011-08-06,Don't Wanna Go Home,16
Jason Derulo,2011-08-13,Don't Wanna Go Home,28
Jason Derulo,2011-08-20,Don't Wanna Go Home,39
Jason Derulo,2011-08-27,Don't Wanna Go Home,57
Jason Derulo,2011-09-03,Don't Wanna Go Home,74
Jason Derulo,2011-09-10,Don't Wanna Go Home,87
Maroon 5 Featuring Kendrick Lamar,2016-10-29,Don't Wanna Know,56
Maroon 5 Featuring Kendrick Lamar,2016-11-05,Don't Wanna Know,9
Maroon 5 Featuring Kendrick Lamar,2016-11-12,Don't Wanna Know,13
Maroon 5 Featuring Kendrick Lamar,2016-11-19,Don't Wanna Know,11
Maroon 5 Featuring Kendrick Lamar,2016-11-26,Don't Wanna Know,10
Maroon 5 Featuring Kendrick Lamar,2016-12-03,Don't Wanna Know,10
Maroon 5 Featuring Kendrick Lamar,2016-12-10,Don't Wanna Know,10
Maroon 5 Featuring Kendrick Lamar,2016-12-17,Don't Wanna Know,8
Maroon 5 Featuring Kendrick Lamar,2016-12-24,Don't Wanna Know,7
Maroon 5 Featuring Kendrick Lamar,2016-12-31,Don't Wanna Know,10
Maroon 5 Featuring Kendrick Lamar,2017-01-07,Don't Wanna Know,8
Maroon 5 Featuring Kendrick Lamar,2017-01-14,Don't Wanna Know,11
Maroon 5 Featuring Kendrick Lamar,2017-01-21,Don't Wanna Know,7
Maroon 5 Featuring Kendrick Lamar,2017-01-28,Don't Wanna Know,8
Maroon 5 Featuring Kendrick Lamar,2017-02-04,Don't Wanna Know,9
Maroon 5 Featuring Kendrick Lamar,2017-02-11,Don't Wanna Know,7
Maroon 5 Featuring Kendrick Lamar,2017-02-18,Don't Wanna Know,6
Maroon 5 Featuring Kendrick Lamar,2017-02-25,Don't Wanna Know,9
Maroon 5 Featuring Kendrick Lamar,2017-03-04,Don't Wanna Know,17
Maroon 5 Featuring Kendrick Lamar,2017-03-11,Don't Wanna Know,19
Maroon 5 Featuring Kendrick Lamar,2017-03-18,Don't Wanna Know,25
Maroon 5 Featuring Kendrick Lamar,2017-03-25,Don't Wanna Know,31
Maroon 5 Featuring Kendrick Lamar,2017-04-01,Don't Wanna Know,36
Maroon 5 Featuring Kendrick Lamar,2017-04-08,Don't Wanna Know,44
Maroon 5 Featuring Kendrick Lamar,2017-04-15,Don't Wanna Know,41
Maroon 5 Featuring Kendrick Lamar,2017-04-22,Don't Wanna Know,45
Maroon 5 Featuring Kendrick Lamar,2017-04-29,Don't Wanna Know,46
Brett Eldredge,2013-06-08,Don't Ya,95
Brett Eldredge,2013-06-15,Don't Ya,83
Brett Eldredge,2013-06-22,Don't Ya,76
Brett Eldredge,2013-06-29,Don't Ya,58
Brett Eldredge,2013-07-06,Don't Ya,54
Brett Eldredge,2013-07-13,Don't Ya,45
Brett Eldredge,2013-07-20,Don't Ya,39
Brett Eldredge,2013-07-27,Don't Ya,37
Brett Eldredge,2013-08-03,Don't Ya,42
Brett Eldredge,2013-08-10,Don't Ya,40
Brett Eldredge,2013-08-17,Don't Ya,35
Brett Eldredge,2013-08-24,Don't Ya,30
Brett Eldredge,2013-08-31,Don't Ya,32
Brett Eldredge,2013-09-07,Don't Ya,34
Brett Eldredge,2013-09-14,Don't Ya,46
Brett Eldredge,2013-09-21,Don't Ya,58
Brett Eldredge,2013-09-28,Don't Ya,67
Brett Eldredge,2013-10-05,Don't Ya,75
Brett Eldredge,2013-10-12,Don't Ya,85
Brett Eldredge,2013-10-19,Don't Ya,95
Lady Gaga,2011-02-26,Born This Way,1
Katy Perry,2012-03-03,Part Of Me,1
Taylor Swift,2014-09-06,Shake It Off,1
Zayn,2016-02-20,Pillowtalk,1
Justin Timberlake,2016-05-28,Can't Stop The Feeling!,1
Ed Sheeran,2017-01-28,Shape Of You,1
Ariana Grande,2018-11-17,"Thank U, Next",1
Ariana Grande,2019-02-02,7 Rings,1
Jonas Brothers,2019-03-16,Sucker,1
Katy Perry Featuring Snoop Dogg,2010-05-29,California Gurls,2
Justin Bieber,2012-04-14,Boyfriend,2
One Direction,2013-08-10,Best Song Ever,2
Justin Bieber,2015-11-14,Sorry,2
Major Lazer Featuring Justin Bieber & MO,2016-08-13,Cold Water,2
Post Malone Featuring 21 Savage,2017-10-07,Rockstar,2
Post Malone Featuring Ty Dolla $ign,2018-03-10,Psycho,2
Ariana Grande,2019-02-23,"Break Up With Your Girlfriend, I'm Bored",2
Lady Gaga,2011-05-28,The Edge Of Glory,3
Lil Wayne Featuring Drake,2011-09-03,She Will,3
Maroon 5 Featuring Wiz Khalifa,2012-05-05,Payphone,3
Eminem,2013-09-14,Berzerk,3
Ariana Grande Featuring Iggy Azalea,2014-05-17,Problem,3
Katy Perry Featuring Skip Marley,2017-03-04,Chained To The Rhythm,4
Harry Styles,2017-04-29,Sign Of The Times,4
Kendrick Lamar,2017-05-06,DNA.,4
Taylor Swift,2017-09-23,...Ready For It?,4
The Weeknd,2018-04-14,Call Out My Name,4
Travis Scott,2018-08-18,Sicko Mode,4
