Date,New Hampshire TMAX,New Hampshire TMIN,New Hampshire: Residential retail sales of electricity (million kilowatthours),New Hampshire: Natural Gas Residential Consumption (Million Cubic Feet),Rhode Island TMAX,Rhode Island TMIN,Rhode Island: Residential retail sales of electricity (million kilowatthours),Rhode Island: Natural Gas Residential Consumption (Million Cubic Feet),Vermont TMAX,Vermont TMIN,Vermont: Residential retail sales of electricity (million kilowatthours),Vermont Natural: Natural Gas Residential Consumption (Million Cubic Feet),Connecticut TMAX,Connecticut TMIN,Connecticut: Residential retail sales of electricity (million kilowatthours),Connecticut: Natural Gas Residential Consumption (Million Cubic Feet),Maine TMAX,Maine TMIN,Maine: Residential retail sales of electricity (million kilowatthours),"Maine: Natural Gas Residential Consumption, (Million Cubic Feet)",Massachusetts MAX,Massachusetts MIN,Massachusetts: Residential retail sales of electricity (million kilowatthours),"Massachusetts: Natural Gas Residential Consumption, (Million Cubic Feet)"
01/01/10,31,20,458.09335,1305,29,25,276.59232,3138,29,24,224.18372,538,37,30,1352.79372,8705,29,14,445.00723,219,31,26,2010.71739,23141
01/02/10,29,18,,,36,26,,,28,11,,,36,19,,,28,20,,,34,26,,
01/03/10,28,14,,,30,13,,,23,9,,,23,19,,,35,22,,,29,15,,
01/04/10,28,22,,,26,13,,,23,17,,,33,22,,,37,33,,,29,20,,
01/05/10,29,19,,,35,17,,,23,15,,,31,21,,,35,27,,,35,23,,
01/06/10,29,20,,,30,16,,,22,19,,,34,25,,,34,27,,,31,21,,
01/07/10,35,21,,,33,20,,,26,15,,,42,28,,,34,17,,,32,21,,
01/08/10,23,17,,,41,20,,,19,9,,,33,23,,,32,5,,,38,20,,
01/09/10,20,6,,,29,18,,,16,-4,,,30,17,,,24,7,,,27,18,,
01/10/10,21,5,,,29,5,,,17,-4,,,30,13,,,22,-3,,,26,5,,
01/11/10,31,-1,,,29,6,,,29,15,,,34,19,,,23,-2,,,27,11,,
01/12/10,26,10,,,36,10,,,24,7,,,37,21,,,31,15,,,34,13,,
01/13/10,22,9,,,35,12,,,20,0,,,33,20,,,23,-2,,,35,12,,
01/14/10,32,1,,,30,14,,,31,17,,,39,21,,,27,-4,,,28,13,,
01/15/10,41,22,,,37,20,,,38,25,,,48,21,,,28,-4,,,36,17,,
01/16/10,44,23,,,47,20,,,40,26,,,46,26,,,39,21,,,46,28,,
01/17/10,37,22,,,48,24,,,37,30,,,40,25,,,43,23,,,46,28,,
01/18/10,34,26,,,40,26,,,36,31,,,47,30,,,25,19,,,49,25,,
01/19/10,32,28,,,33,30,,,34,31,,,44,35,,,25,19,,,33,27,,
01/20/10,34,21,,,35,31,,,32,22,,,44,30,,,29,22,,,35,32,,
01/21/10,35,10,,,39,22,,,28,9,,,40,24,,,31,13,,,37,26,,
01/22/10,38,4,,,43,19,,,31,3,,,42,25,,,37,6,,,39,21,,
01/23/10,36,0,,,39,19,,,31,0,,,41,21,,,33,2,,,37,21,,
01/24/10,35,10,,,39,17,,,36,9,,,45,20,,,34,5,,,35,20,,
01/25/10,52,32,,,51,20,,,51,36,,,55,39,,,44,10,,,51,25,,
01/26/10,45,25,,,55,38,,,38,31,,,47,37,,,50,32,,,57,38,,
01/27/10,41,20,,,46,26,,,34,29,,,44,32,,,42,25,,,46,28,,
01/28/10,32,15,,,42,21,,,30,10,,,39,21,,,39,27,,,42,24,,
01/29/10,16,3,,,34,10,,,10,-3,,,24,14,,,35,9,,,37,11,,
01/30/10,18,-1,,,19,4,,,10,-8,,,22,8,,,16,0,,,19,5,,
01/31/10,26,0,,,21,4,,,23,-8,,,30,14,,,20,-4,,,22,5,,
02/01/10,32,16,397.68147,1033,29,14,245.76663,2824,22,12,179.9271,494,36,24,1141.24001,7502,24,2,355.66146,186,27,5,1899.5438,18681
02/02/10,30,7,,,34,14,,,27,10,,,32,18,,,24,4,,,33,18,,
02/03/10,32,14,,,34,14,,,28,16,,,37,26,,,21,6,,,32,18,,
02/04/10,29,10,,,33,19,,,23,8,,,37,21,,,25,11,,,31,23,,
02/05/10,32,5,,,34,18,,,23,9,,,37,21,,,26,6,,,32,18,,
02/06/10,27,10,,,36,20,,,19,3,,,32,20,,,29,3,,,34,20,,
02/07/10,27,10,,,22,11,,,20,8,,,34,16,,,26,3,,,22,13,,
02/08/10,30,17,,,33,18,,,19,13,,,38,20,,,29,14,,,32,20,,
02/09/10,38,18,,,33,19,,,28,14,,,42,25,,,32,21,,,32,20,,
