2016-01-05,"'star', 'war', 'hype', 'fade', 'disney', 'cable', 'sport', 'empire', 'could'"
2016-01-10,"'netflix', 'deal', 'expired', 'cw', 'seek', 'new', 'streaming'"
2016-01-13,"'zander', 'lurie', 'named', 'ceo'"
2016-01-14,"'tegna', 'jump', 'nbc', 'deal'"
2016-01-14,"'hero', 'bust', 'gopro', 'hope', 'rest', 'drone', 'virtual'"
2016-01-20,"'barclays', 'stock', 'tumble', 'buy', 'company', 'self'"
2016-01-21,"'cbs', 'boost', 'showtime', 'international', 'reach', 'sky'"
2016-01-21,"'cbs', 'share', 'following', 'licensing', 'deal'"
2016-01-23,"'barron', 'roundtable', 'part', 'savvy', 'investment'"
2016-01-25,"'tv', 'ad', 'spending', 'flat', 'digital', 'ad'"
2016-01-25,"'even', 'tv', 'exec', 'think', 'many', 'good'"
2016-02-01,"'nfl', 'make', 'money', 'split', 'right', 'thursday', 'night'"
2016-02-03,"'viacom', 'investor', 'anxiously', 'await', 'news', 'sumner', 'redstone', 'resigns'"
2016-02-03,"'sumner', 'redstone', 'step', 'cbs', 'chairman', 'moonves', 'named'"
2016-02-03,"'sumner', 'redstone', 'resigns', 'executive'"
2016-02-03,"'sumner', 'redstone', 'named', 'chairman'"
2016-02-03,"'cbs', 'name', 'leslie', 'moonves', 'chairman'"
2016-02-04,"'viacom', 'follows', 'cbs', 'lead', 'sunmer', 'redstone', 'executive'"
2016-02-04,"'buying', 'doomsday', 'talk', 'bank', 'missing'"
2016-02-04,"'buying', 'doomsday', 'talk', 'bank', 'missing'"
2016-02-04,"'viacom', 'unlock', 'value', 'deliver', 'gain'"
2016-02-05,"'kung', 'fu', 'panda', 'hail', 'caesar', 'compete', 'super', 'bowl'"
2016-02-06,"'free', 'snack', 'fly', 'american'"
2016-02-06,"'free', 'snack', 'fly', 'american'"
2016-02-07,"'disney', 'coca', 'cola', 'headline', 'consumer', 'heavy', 'earnings'"
2016-02-07,"'time', 'super', 'bowl'"
2016-02-08,"'expect', 'viacom'"
2016-02-09,"'viacom', 'ceo', 'defends', 'record', 'share'"
2016-02-09,"'akamai', 'eps', 'revenue', 'beat', 'updated'"
2016-02-11,"'cbs', 'profit', 'hurt', 'write', 'radio'"
2016-02-11,"'cbs', 'share', 'tick', 'lower', 'hour', 'following', 'line'"
2016-02-11,"'cbs', 'adjusted', 'eps', 'v', 'street'"
2016-02-11,"'cbs', 'eps', 'v', 'year'"
2016-02-11,"'cbs', 'revenue', 'bln', 'v', 'bln', 'year'"
2016-02-11,"'one', 'thing', 'cushion', 'investor', 'stock', 'market', 'hit'"
2016-02-22,"'nfl', 'roger', 'goodell', 'cost', 'entire', 'football'"
2016-02-27,"'corporate', 'bond', 'worth'"
2016-02-27,"'corporate', 'bond', 'worth'"
2016-02-29,"'hollywood', 'seem', 'shake', 'inclusion', 'crisis'"
2016-02-29,"'hollywood', 'seem', 'shake', 'inclusion', 'crisis'"
2016-03-04,"'cord', 'cutting', 'hurting', 'medium', 'company'"
2016-03-07,"'jimmy', 'kimmel', 'return', 'host', 'emmy', 'last', 'year', 'slump'"
2016-03-08,"'dividend', 'paying', 'stock', 'play', 'value'"
2016-03-09,"'morning', 'mover', 'valeant', 'climb', 'board', 'addition', 'chipotle', 'mexican', 'grill'"
2016-03-09,"'cbs', 'stock', 'offer', 'value', 'meet'"
2016-03-10,"'snapchat', 'turner', 'sport', 'team', 'bring', 'live', 'story', 'march'"
2016-03-12,"'buffett', 'take', 'aim', 'texting'"
2016-03-12,"'buffett', 'take', 'aim', 'texting'"
2016-03-13,"'ncaa', 'tournament'"
2016-03-15,"'cbs', 'looking', 'sell', 'radio'"
2016-03-16,"'cbs', 'corp', 'stock', 'price', 'target', 'raised'"
2016-03-16,"'cbs', 'corp', 'stock', 'price', 'target', 'raised', 'stifel'"
2016-03-16,"'cbs', 'stock', 'target', 'raised'"
2016-03-16,"'cbs', 'stock', 'target', 'raised'"
2016-03-23,"'four', 'pick', 'gain', 'fcc', 'wireless'"
2016-04-01,"'momentum', 'strategy', 'stock', 'buy'"
2016-04-04,"'march', 'madness', 'need', 'infected', 'nfl'"
2016-04-05,"'watch', 'nfl', 'game', 'free', 'without'"
2016-04-06,"'twitter', 'nfl', 'deal', 'fan'"
2016-04-06,"'twitter', 'nfl', 'deal', 'fan'"
2016-04-08,"'viacom', 'ceo', 'longer', 'charge', 'sumner', 'redstone', 'health', 'care'"
2016-04-08,"'cbs', 'corp', 'started', 'outperform', 'stock', 'price', 'target', 'rbc'"
2016-04-10,"'yahoo', 'may', 'get', 'buyout', 'bid', 'daily'"
2016-04-11,"'daily', 'mail', 'confirms', 'exploring', 'bid'"
2016-04-11,"'daily', 'mail', 'exploring', 'buyout', 'bid'"
2016-04-12,"'cbs', 'turner', 'pay', 'billion', 'televise', 'march', 'madness'"
2016-04-12,"'billion', 'finale', 'extends', 'beyond'"
2016-04-20,"'surging', 'stock', 'ride'"
2016-04-23,"'cut', 'cord', 'nba', 'playoff', 'every', 'sporting'"
2016-04-27,"'tegna', 'result', 'beat', 'helped', 'political'"
2016-04-30,"'wall', 'street', 'rewarding', 'low', 'expectation', 'earnings'"
2016-04-30,"'snapchat', 'keep'"
2016-05-02,"'sumner', 'redstone', 'mental', 'competency', 'case', 'head', 'court'"
2016-05-03,"'cbs', 'result', 'boosted', 'super'"
2016-05-03,"'cbs', 'share', 'gain', 'first', 'quarter', 'earnings', 'beat', 'wall', 'street'"
2016-05-03,"'cbs', 'revenue', 'bln', 'v'"
2016-05-03,"'cbs', 'earnings', 'share', 'v'"
2016-05-04,"'youtube', 'reportedly', 'planning', 'streaming', 'tv'"
2016-05-06,"'lawyer', 'say', 'redstone', 'ex', 'girlfriend', 'lied', 'kept', 'woman', 'cared'"
2016-05-06,"'facebook', 'stock', 'split', 'easy', 'ask'"
2016-05-07,'said'
2016-05-07,"'deutsche', 'bank', 'see', 'aig'"
2016-05-09,"'viacom', 'may', 'reduce', 'sumner', 'redstone'"
2016-05-09,"'sumner', 'redstone', 'mental', 'competency', 'suit', 'dismissed'"
2016-05-09,"'sumner', 'redstone', 'mental', 'competency', 'case', 'dismissed', 'california', 'judge', 'wsj'"
2016-05-09,"'redstone', 'lawsuit', 'decision', 'expected'"
2016-05-10,"'disney', 'lost', 'magic'"
2016-05-11,"'disney', 'drop', 'deserved'"
2016-05-19,"'safer', 'retired', 'minute', 'last'"
2016-05-19,"'safer', 'cbs', 'news', 'career', 'spanned'"
2016-05-19,"'minute', 'veteran', 'morley', 'safer', 'dead'"
2016-05-23,"'viacom', 'tolerance', 'toxic', 'headline'"
2016-05-23,"'tribune', 'medium', 'cw', 'network', 'renew', 'affiliate', 'agreement', 'covering'"
2016-05-23,"'warfare', 'redstone', 'billion', 'medium', 'empire', 'lieutenant'"
2016-05-24,"'sumner', 'redstone', 'daughter', 'shari', 'accused', 'manipulation', 'fight'"
2016-05-24,"'could', 'redstone', 'fire', 'viacom', 'ceo'"
2016-05-26,"'sumner', 'redstone', 'created', 'hotbed', 'viacom'"
2016-05-28,"'regeneron', 'sponsor', 'high', 'school', 'science'"
2016-05-31,"'viacom', 'board', 'ready', 'fight', 'redstone'"
2016-05-31,"'viacom', 'board', 'ready', 'fight', 'redstone'"
2016-06-01,"'shari', 'redstone', 'say', 'viacom', 'shareholder', 'spoken', 'want', 'new'"
2016-06-06,"'redstone', 'trustee', 'support', 'removing', 'viacom', 'ceo', 'philippe', 'dauman'"
2016-06-08,"'controversial', 'student', 'contract', 'may', 'soon'"
2016-06-10,"'le', 'moonves', 'care', 'tony', 'award', 'money', 'loser'"
2016-06-13,"'hamilton', 'help', 'cbs', 'popular', 'tony', 'broadcast'"
2016-06-15,"'sumner', 'redstone', 'visited', 'cbs', 'paramount', 'studio', 'rare'"
2016-06-15,"'medium', 'stock', 'period', 'prolonged', 'structural', 'decline'"
2016-06-17,"'viacom', 'problem', 'management'"
2016-06-17,"'viacom', 'cbs', 'come', 'merger'"
2016-06-17,"'viacom', 'warns', 'profit', 'miss', 'pay', 'ceo', 'legal'"
2016-06-17,"'philippe', 'dauman', 'may', 'well', 'start', 'packing', 'desk'"
2016-06-20,"'viacom', 'ceo', 'philippe', 'dauman', 'make', 'million'"
2016-06-24,"'cbs', 'viacom', 'merger'"
2016-06-30,"'lion', 'gate', 'starz', 'shaking', 'etch'"
2016-06-30,"'sumner', 'redstone', 'viacom', 'saga', 'set', 'continue', 'massachusetts'"
2016-07-02,"'nfl', 'took', 'billion', 'revenue', 'last', 'season', 'see', 'stack', 'pro', 'sport'"
2016-07-05,"'netflix', 'agrees', 'new', 'multi', 'year', 'licensing', 'deal', 'cw'"
2016-07-06,"'cbs', 'plan', 'spin', 'radio'"
2016-07-06,"'brexit', 'global', 'economy', 'question', 'loom', 'medium', 'tech', 'titan', 'arrive', 'sun', 'valley'"
2016-07-07,"'medium', 'mogul', 'playing', 'let', 'make', 'deal', 'sun', 'valley', 'retreat'"
2016-07-08,"'cbs', 'radio', 'file'"
2016-07-08,"'viacom', 'climb', 'malone', 'comment', 'uncertainty'"
2016-07-11,"'viacom', 'see', 'anyone', 'successfully', 'turn', 'company', 'around'"
2016-07-11,"'twitter', 'cbs', 'team', 'live', 'stream', 'national'"
2016-07-18,"'netflix', 'report', 'sharp', 'slowdown', 'user'"
2016-07-20,"'espn', 'questionable', 'future', 'put', 'disney', 'profit', 'jeopardy', 'flattish'"
2016-07-20,"'walt', 'disney', 'time', 'switch'"
2016-07-23,"'camping', 'world', 'take', 'act'"
2016-07-25,"'discovery', 'ad', 'sale', 'chief', 'joe', 'abruzzese'"
2016-07-25,"'best', 'trailer', 'comic'"
2016-07-26,"'cbs', 'ink', 'exclusive', 'licensing', 'deal', 'apple', 'new', 'carpool', 'karaoke'"
2016-07-28,"'cbs', 'profit', 'content', 'licensing'"
2016-07-28,"'cbs', 'profit', 'content', 'licensing'"
2016-07-28,"'cbs', 'share', 'fall', 'better', 'expected', 'earnings'"
2016-07-28,"'cbs', 'revenue', 'bln', 'v', 'bln', 'factset', 'consensus'"
2016-07-28,"'cbs', 'eps', 'cent', 'v'"
2016-07-28,"'cbs', 'eps', 'v', 'year'"
2016-07-28,"'judge', 'denies', 'motion', 'dismiss', 'viacom', 'ceo', 'suit', 'redstone'"
2016-07-28,"'cbs', 'board', 'approves', 'increase', 'dividend', 'share', 'buyback'"
2016-07-29,"'apple', 'failing', 'bully', 'hollywood', 'seeing', 'future'"
2016-08-04,"'viacom', 'ceo', 'upbeat', 'resolution', 'legal'"
2016-08-13,"'zika', 'share', 'look', 'like'"
2016-08-19,"'viacom', 'merger', 'asset', 'sale', 'lot'"
2016-08-22,"'make', 'money', 'next', 'orange', 'new', 'black', 'mad', 'men'"
2016-08-27,"'sell', 'disney', 'buy', 'viacom'"
2016-08-31,"'cbs', 'add', 'month', 'commercial', 'free', 'subscription', 'access', 'streaming'"
2016-09-05,"'tv', 'legend', 'dick', 'wolf', 'call', 'chicago', 'kinder', 'fatter', 'new'"
2016-09-06,"'breakdown', 'stock', 'ipo', 'remainder'"
2016-09-17,"'mainland', 'meet', 'sin'"
2016-09-17,"'philanthropy', 'getting', 'bang'"
2016-09-22,"'focus', 'better'"
2016-09-24,"'cbs', 'buy', 'viacom'"
