2016-01-02,"'acquisition', 'idea', 'alphabet', 'amazon', 'tech', 'giant'"
2016-01-04,"'top', 'tech', 'stock', 'pick'"
2016-01-06,"'ibm', 'rometty', 'want', 'know', 'cognitive', 'solution', 'cloud', 'platform', 'company'"
2016-01-06,"'buy', 'list', 'stock', 'include', 'last', 'year'"
2016-01-09,'beat'
2016-01-11,"'violin', 'management', 'defends', 'activist', 'clinton', 'call', 'new', 'board'"
2016-01-11,"'five', 'buy', 'target', 'enterprise'"
2016-01-12,"'nearly', 'half', 'bear'"
2016-01-14,"'showing', 'market', 'decline'"
2016-01-15,"'ibm', 'stock', 'price', 'target', 'cut', 'rbc'"
2016-01-15,"'ibm', 'set', 'pain'"
2016-01-16,"'nfl', 'eventually', 'put', 'team', 'london'"
2016-01-16,'next'
2016-01-18,"'woeful', 'earnings', 'threaten', 'intensify', 'stock', 'market'"
2016-01-19,"'ibm', 'cloud', 'transition', 'keep', 'showing', 'growing'"
2016-01-19,"'ibm', 'profit', 'fall', 'lower'"
2016-01-19,"'dow', 'end', 'slightly', 'higher', 'oil', 'rout'"
2016-01-19,"'ibm', 'slip', 'rev', 'line', 'eps', 'beat', 'trumpet', 'cloud'"
2016-01-19,"'ibm', 'share', 'slide', 'revenue', 'drop', 'th', 'straight'"
2016-01-19,"'ibm', 'earnings', 'share', 'v'"
2016-01-19,"'ibm', 'revenue', 'bln', 'v'"
2016-01-19,"'expect', 'ibm'"
2016-01-20,"'stock', 'end', 'sharply', 'lower', 'trim', 'heavy', 'loss', 'wild'"
2016-01-20,"'vmware', 'microsoft', 'okay', 'ibm', 'warrant', 'caution', 'say', 'raymond'"
2016-01-20,"'ibm', 'could', 'face', 'year', 'decline', 'revenue'"
2016-01-20,"'micron', 'crushed', 'yahoo', 'synaptics', 'among', 'worst', 'broad'"
2016-01-20,"'davos', 'cloud', 'point', 'bright', 'outlook'"
2016-01-20,"'ibm', 'stock', 'shaving', 'nearly', 'point', 'dow'"
2016-01-20,"'ibm', 'stock', 'price', 'target', 'cut', 'drexel'"
2016-01-20,"'ibm', 'decline', 'contributing', 'point', 'dow'"
2016-01-20,"'share', 'ibm', 'lead', 'dow', 'industrials'"
2016-01-20,"'ibm', 'drop', 'eye', 'software', 'decline', 'view', 'realistic'"
2016-01-20,"'ibm', 'stock', 'price', 'target', 'cut'"
2016-01-20,"'ibm', 'need', 'convince', 'investor', 'flexible', 'software', 'pricing'"
2016-01-20,"'ibm', 'stock', 'slump', 'premarket', 'result', 'late'"
2016-01-20,"'ibm', 'stock', 'price', 'target', 'cut', 'rbc'"
2016-01-20,"'stock', 'plummeting', 'fed', 'rescue'"
2016-01-21,"'big', 'tech', 'firm', 'chance', 'gobble', 'cash', 'poor', 'cloud'"
2016-01-21,"'ibm', 'buy', 'video', 'streaming', 'company'"
2016-01-22,"'emc', 'vmware', 'ibm', 'etc', 'come', 'layoff', 'tech', 'opines', 'global'"
2016-01-24,"'apple', 'investor', 'stuck', 'past', 'expect', 'big'"
2016-01-25,"'rambus', 'jump', 'year', 'view', 'higher', 'acquisition', 'smart'"
2016-01-25,"'western', 'digital', 'drop', 'clsa', 'see', 'risk', 'sandisk'"
2016-01-26,"'ibm', 'time', 'open', 'kimono', 'cloud', 'cognition', 'say'"
2016-01-28,"'ibm', 'ceo', 'rometty', 'get', 'million', 'bonus'"
2016-01-28,"'dollar', 'based', 'stock', 'etf', 'buck', 'choppy'"
2016-02-01,"'apple', 'cisco', 'ibm', 'prove', 'stock', 'buyback'"
2016-02-01,"'market', 'getting', 'wrong', 'billion', 'plus', 'market', 'cap', 'stock', 'like', 'apple'"
2016-02-01,"'three', 'entrenched', 'software'"
2016-02-03,"'facebook', 'lead', 'google', 'apple', 'amazon', 'cloud', 'spending'"
2016-02-03,"'lenovo', 'net', 'profit', 'rise', 'beating'"
2016-02-05,"'apple', 'could', 'offer', 'investor', 'shelter', 'recessionary'"
2016-02-08,"'cisco', 'fyq', 'tap', 'price', 'target', 'cut', 'jefferies', 'see', 'improving', 'risk'"
2016-02-08,"'buffett', 'stock', 'bargain', 'beaten'"
2016-02-10,"'dow', 'log', 'longest', 'losing', 'stretch'"
2016-02-10,"'sinking', 'share', 'disney', 'ibm', 'drag', 'dow', 'industrials'"
2016-02-10,"'disney', 'ibm', 'contribute', 'point', 'dow'"
2016-02-13,"'armour', 'ceo', 'plank', 'take'"
2016-02-16,"'flight', 'quality', 'apple', 'bond'"
2016-02-16,"'apple', 'issue', 'billion', 'billion', 'bond', 'finance', 'share', 'buyback'"
2016-02-17,"'one', 'stock', 'market', 'tip', 'really', 'want'"
2016-02-18,"'stock', 'end', 'lower', 'snap', 'day', 'win'"
2016-02-18,"'stock', 'break', 'day', 'winning'"
2016-02-18,"'ibm', 'jump', 'four', 'year', 'morgan', 'stanley', 'ups'"
2016-02-18,"'ibm', 'stock', 'surge', 'analyst'"
2016-02-18,"'ibm', 'upgraded', 'overweight', 'equal', 'weight', 'morgan'"
2016-02-18,"'ibm', 'stock', 'price', 'target', 'raised', 'morgan'"
2016-02-18,"'ibm', 'stock', 'surge', 'helping', 'keeping', 'dow', 'positive'"
2016-02-18,"'share', 'ibm', 'jump', 'lead', 'dow', 'stock', 'early', 'trade', 'acquisition'"
2016-02-18,"'stock', 'extend', 'rally', 'dow', 'climb'"
2016-02-18,"'ibm', 'buy', 'truven', 'health', 'analytics'"
2016-02-18,"'ibm', 'buy', 'truven', 'health', 'analytics'"
2016-02-18,"'ibm', 'buy', 'truven', 'health', 'analytics'"
2016-02-19,"'well', 'fargo', 'loved', 'stockpickers', 'hedge', 'fund', 'dig', 'time', 'warner'"
2016-02-19,"'ibm', 'bulk', 'health', 'care'"
2016-02-20,"'benjamin', 'trial', 'fate'"
2016-02-20,"'benjamin', 'trial', 'fate'"
2016-02-23,"'amazon', 'web', 'service', 'take', 'aim', 'big'"
2016-02-25,"'tech', 'breakthrough', 'electronic', 'blood', 'mind', 'reading', 'exoskeleton', 'lg', 'modular'"
2016-02-25,"'company', 'hardest', 'time', 'selling', 'bond'"
2016-02-26,"'warren', 'buffett', 'stock', 'pick', 'crush', 'carl', 'icahn', 'far'"
2016-02-26,"'ibm', 'rometty', 'talk', 'cloud', 'blockchain', 'github', 'street', 'awaits', 'financial', 'inflection'"
2016-02-26,"'waiting', 'warren', 'buffett', 'give', 'view'"
2016-02-27,"'berkshire', 'hathaway', 'net', 'worth', 'billion', 'annual'"
2016-02-27,"'brexit', 'haven', 'unilever'"
2016-02-29,"'tech', 'today', 'fcc', 'probe', 'cable', 'company', 'cloud', 'winner', 'iphone', 'se'"
2016-02-29,"'warren', 'buffett', 'say', 'piggyback'"
2016-02-29,"'turner', 'enlists', 'ibm', 'watson', 'ad', 'sale'"
2016-03-01,"'buffett', 'berkshire', 'hathaway'"
2016-03-01,"'blue', 'chip', 'value', 'stock', 'getting', 'due'"
2016-03-02,"'tribune', 'publishing', 'combine', 'editor', 'publisher'"
2016-03-02,"'like', 'warren', 'buffett', 'investment', 'service', 'beaten', 'stock', 'market', 'since'"
2016-03-03,"'sustains', 'break', 'red', 'zone'"
2016-03-04,"'warren', 'buffett', 'dividend', 'aristocrat'"
2016-03-06,"'zte', 'u', 'may', 'place', 'export', 'restriction', 'iran', 'violation', 'significant', 'damage'"
2016-03-07,"'arista', 'cfo', 'chat', 'bolster', 'cloud', 'view', 'say'"
2016-03-07,"'microsoft', 'salesforce', 'among', 'winner', 'rd', 'platform', 'replaces', 'say'"
2016-03-07,"'system', 'brocade', 'vulnerable', 'tech', 'get', 'toppy', 'say'"
2016-03-08,"'qualcomm', 'skyworks', 'zte', 'ban', 'multi', 'hundred', 'million', 'dollar', 'risk', 'say'"
2016-03-09,"'zte', 'sanction', 'much', 'harm', 'manufacturer'"
2016-03-10,"'box', 'surrender', 'early', 'share', 'gain', 'analyst', 'weigh'"
2016-03-10,"'box', 'rising', 'street', 'like', 'growth', 'cash', 'flow', 'elite', 'story'"
2016-03-11,"'dividend', 'aristocrat', 'stock', 'risen', 'year'"
2016-03-11,"'dividend', 'aristocrat', 'stock', 'risen', 'year'"
2016-03-13,"'hp', 'enterprise', 'hope', 'woo', 'developer', 'new', 'cloud'"
2016-03-20,"'apple', 'move', 'data', 'google', 'cloud', 'amazon'"
2016-03-24,"'stock', 'little', 'changed', 'close', 'rig', 'count', 'data', 'pares', 'oil'"
2016-03-24,"'tableau', 'buy', 'followingrecent', 'selloff', 'say'"
2016-03-24,"'stock', 'undervalued', 'dividend', 'payer'"
2016-03-28,"'apple', 'escape', 'historical', 'hardware', 'fate', 'say'"
2016-03-28,"'qlik', 'surge', 'oracle', 'among', 'logical', 'bidder', 'say', 'rbc', 'update'"
2016-03-30,"'ibm', 'buy', 'salesforce', 'consultant', 'bluewolf'"
2016-03-30,"'database', 'startup', 'mapd', 'brings', 'life', 'dream', 'gigantic', 'gpu'"
2016-03-30,"'rackspace', 'jump', 'cheap', 'takeout', 'say', 'well', 'suspect', 'say'"
2016-03-31,"'stock', 'post', 'biggest', 'monthly', 'gain', 'since'"
