Country,gdp_2018,gdp_2014,gdp_2012,gdp_2009,gdp_2003,gdp_per_capita_2018,gdp_per_capita_2014,gdp_per_capita_2012,gdp_per_capita_2009,gdp_per_capita_2003,population_2018,population_2014,population_2012,population_2009,population_2003,rural_pop_2018,rural_pop_2014,rural_pop_2012,rural_pop_2009,rural_pop_2003,urban_pop_2018,urban_pop_2014,urban_pop_2012,urban_pop_2009,urban_pop_2003,pop_14_2018,pop_14_2014,pop_14_2012,pop_14_2009,pop_14_2003,pop_15_64_2018,pop_15_64_2014,pop_15_64_2012,pop_15_64_2009,pop_15_64_2003,pop_65_2018,pop_65_2014,pop_65_2012,pop_65_2009,pop_65_2003,pop_female_2018,pop_female_2014,pop_female_2012,pop_female_2009,pop_female_2003,mortality_2018,mortality_2014,mortality_2012,mortality_2009,mortality_2003,life_expec_2018,life_expec_2014,life_expec_2012,life_expec_2009,life_expec_2003,surface_area_2018,surface_area_2014,surface_area_2012,surface_area_2009,surface_area_2003,internet_2018,internet_2014,internet_2012,internet_2009,internet_2003,H1N1 Cases,H1N1 Deaths,H1N1 Update Time,H1N1 Mortality Rate,covid19 Sum of Deaths,covid19 Sum of Recovered,covid19 Sum of Confirmed,covid19 Mortality Rate,SARS Cases,SARS Number of deaths,SARS Case fatality ratio,Ebola Total cases,Ebola Total deaths,Ebola Fatality
Mauritania,5234817927.170871,5391555433.76476,5231255478.38986,3662279342.59775,1563074858.38117,1188.8345875397301,1371.58434966602,1411.3528302541501,1079.23310823946,547.075215698022,4403319.0,3930896.0,3706554.0,3393409.0,2857148.0,46.328,49.797,51.6,54.31399999999999,59.648999999999994,53.672,50.203,48.4,45.68600000000001,40.351,40.08318282166179,40.683294597465796,40.9812885550059,41.433702804466,42.7671230191786,56.77570502028811,56.1962209124841,55.8823489736426,55.402959089222705,54.012567777377996,3.14111215805009,3.1204844900501096,3.1363624713514304,3.1633381063113797,3.22030920344343,49.822656218773496,49.913963591997096,49.9585194338139,50.028879521708,50.1854295364262,75.7,86.2,91.8,99.8,112.4,nan,63.653999999999996,63.07899999999999,62.26600000000001,61.018,1030700.0,1030700.0,1030700.0,1030700.0,1030700.0,nan,10.7,5.0,2.28,0.42400489584319706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Venezuela,nan,482359318767.7029,381286237847.6671,329787628928.472,83620628582.1082,nan,16054.490513096202,12985.505325106498,11765.1001763251,3272.61502369118,28870195.0,30045134.0,29362449.0,28031009.0,25551624.0,11.792,11.856,11.877,11.943,12.097999999999999,88.208,88.14399999999998,88.12299999999998,88.057,87.902,27.6666505810652,28.769088327092,29.3271850526605,30.2269033554946,32.6037828358777,65.0663627988088,65.0512026641309,64.8135337558667,64.3385865988627,62.634175424622704,7.266986620125968,6.1797090087770306,5.85928119147285,5.4345100456426705,4.76204173949961,50.6332598022849,50.226580438627,50.1558011291712,50.075305884447296,49.8928874344738,24.5,17.3,17.2,17.0,19.8,nan,72.762,73.03699999999998,73.116,72.618,912050.0,912050.0,912050.0,912050.0,912050.0,nan,57.0,49.0500830729861,32.7,7.499963465224072,206.0,0.0,7/6/09 9:00,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Egypt,250894760351.232,305529656458.438,279372758361.832,188982374700.805,82924503942.6381,2549.13225178609,3378.83135785555,3232.64889178794,2329.2394799677104,1138.6646732233698,98423595.0,90424654.0,86422240.0,81134798.0,72826097.0,57.29600000000001,57.161,57.053999999999995,56.96100000000001,57.065,42.70399999999999,42.839,42.94600000000001,43.038999999999994,42.935,33.7987207092348,33.158778066017696,32.706991879393804,32.6336980588773,34.99030574163549,60.971499944556,61.7878170307886,62.3733128518777,62.5804343532106,60.072065924389705,5.229779346209232,5.053404903193661,4.91969526872845,4.78586758791216,4.93762833397484,49.4699716435901,49.46382993631779,49.4709845521245,49.4957643878263,49.6015727987199,21.2,24.6,26.6,30.2,39.6,nan,71.117,70.736,70.15899999999999,69.116,1001450.0,1001450.0,1001450.0,1001450.0,1001450.0,46.9243380864905,33.8946039115275,26.4,20.0,4.03788510706701,78.0,0.0,7/6/09 9:00,0.0,0.0,5.0,21.0,0.0,nan,nan,nan,nan,nan,nan
South Africa,368288939768.322,350904575292.317,396332702639.49603,295936485832.635,175256916996.047,6374.02819575944,6433.187276628941,7501.4699839525,5862.7973402116695,3751.2828130871003,57779622.0,54545991.0,52834005.0,50477011.0,46719196.0,33.645,35.688,36.728,38.313,41.553999999999995,66.355,64.312,63.272,61.687,58.44600000000001,29.0794891477129,29.352035797179198,29.527469543553906,29.822439367497395,31.9920038863683,65.6025058468641,65.6950110136395,65.62771837070929,65.4300945038128,63.4079319344451,5.31800500542302,4.95295318918134,4.84481208573682,4.74746612868975,4.6000641791866395,50.694150384859505,50.638091863286505,50.645310129100295,50.6697058322369,50.6995677987058,33.8,39.5,43.3,58.0,79.1,nan,61.968,60.06,56.46,53.748999999999995,1219090.0,1219090.0,1219090.0,1219090.0,1219090.0,nan,49.0,41.0,10.0,7.00769172611251,18.0,0.0,7/6/09 9:00,0.0,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan
Greece,218031844583.994,237029579260.722,245670666639.047,330000252153.37604,201924270316.0269,20324.2535641478,21760.9797994918,22242.681934771,29710.970295028397,18477.578411927,10727668.0,10892413.0,11045011.0,11107017.0,10928070.0,20.941999999999997,22.298000000000002,22.996,24.068,26.311,79.058,77.702,77.00399999999998,75.932,73.689,14.071244865402301,14.675638529934599,14.960219828635699,15.0237807766793,14.7760508086188,64.2734830567542,64.8470824904574,65.3157625015942,66.1137163125434,67.7534770838169,21.6552720778435,20.477278979608,19.724017669770106,18.8625029107773,17.4704721075644,50.916201905221,50.9142023611732,50.9223022211331,50.817673224160615,50.387672422529896,4.5,4.4,4.1,3.9,5.2,nan,81.3853658536585,80.6341463414634,80.1878048780488,78.84146341463409,131960.0,131960.0,131960.0,131960.0,131960.0,72.952094201811,63.21,55.0699934418411,42.4,17.8,151.0,0.0,7/6/09 9:00,0.0,0.0,0.0,33.0,0.0,nan,nan,nan,nan,nan,nan
Angola,105750987618.63,145712200312.505,128052853643.106,70307163678.23799,17812705294.325,3432.38573600893,5408.41049555432,5100.095808097671,3122.78076649385,982.960899291112,30809762.0,26941779.0,25107931.0,22514281.0,18121479.0,34.486,37.269,38.732,40.966,46.355,65.514,62.731,61.268,59.034,53.645,46.80892470954121,47.1771593108235,47.1960194569596,47.04097368243741,47.0452439340078,50.9747016426956,50.519796781051504,50.46797762826421,50.5645994202524,50.38343172762,2.21637364776329,2.303043908125,2.33600291477621,2.3944268973102005,2.5713243383721602,50.5304629337424,50.5471002223944,50.559227813529,50.5335614848801,50.339356996121204,77.2,92.9,104.9,129.0,184.8,nan,58.776,57.236000000000004,54.31100000000001,48.44,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,nan,21.4,6.5,2.3,0.3706820652257271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Central African Republic,2219894701.95124,1892292911.82509,2510270267.72918,2059094048.260189,1139754799.16304,475.721250544318,423.884124575109,565.833058388175,474.705408664923,293.661851679435,4666377.0,4464175.0,4436415.0,4337625.0,3881181.0,58.636,60.041000000000004,60.611999999999995,61.306000000000004,62.11600000000001,41.364,39.959,39.38800000000001,38.694,37.884,44.29432055080101,45.10058409448551,44.72197828156779,44.0743033341979,43.515904050854594,52.879905742538995,52.011536286099904,52.299401138216105,52.824552606553105,53.0650077901546,2.82577370666008,2.8878796194145604,2.9786205802161003,3.1011440592490094,3.4190881589907796,50.43647370817821,50.45225642118101,50.47154107227671,50.5089538671295,50.625981497918794,116.5,133.6,141.8,153.7,167.7,nan,50.129,48.63800000000001,46.718999999999994,44.181999999999995,622980.0,622980.0,622980.0,622980.0,622980.0,nan,3.6,3.0,1.8,0.151563337940017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Panama,65055100000.0,49921500000.0,40429700000.0,27116635600.0,13693981200.0,15575.072548291499,12796.0700430496,10722.2836326295,7576.140466554821,4267.30332484899,4176873.0,3901315.0,3770624.0,3579215.0,3209048.0,32.291,33.629,34.259,35.149,36.909,67.709,66.37100000000001,65.741,64.851,63.091,27.062304324124106,28.109631780471894,28.6467286864303,29.3984574829956,31.049457658470697,64.8329645962083,64.5144943472891,64.3014979475556,63.9891149316261,63.1124557812784,8.104731079667571,7.37587387223894,7.05177336601403,6.612427585378361,5.838086560250889,49.9053836510993,49.827763026326295,49.7913746623579,49.7383364788089,49.644474886072395,15.3,17.5,18.6,20.5,24.1,nan,77.583,77.188,76.6,75.565,75420.0,75420.0,75420.0,75420.0,75420.0,nan,44.92,40.301895221048795,39.08,9.987424077234053,417.0,0.0,7/6/09 9:00,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Albania,15102500898.238,13228244336.3241,12319784701.3346,12044223457.8287,5611492282.86582,5268.84850355919,4578.666720313329,4247.61427862374,4114.14015001395,1846.11881331912,2866376.0,2889104.0,2900401.0,2927519.0,3039616.0,39.681,43.577,45.67,48.924,55.427,60.318999999999996,56.423,54.33,51.076,44.573,17.672873724303997,19.220282394292,20.600591058084603,23.1605746022264,28.140170871093602,68.5823903647225,68.59902530983439,68.0118980294403,66.6470907970541,63.9726839731458,13.7447359109736,12.180692295873499,11.387510912475099,10.1923346007195,7.88714515576056,49.06309459593061,49.1733783745991,49.410948388365405,49.6960690793678,49.4922253470716,8.8,10.0,11.4,14.4,21.8,nan,77.813,77.252,76.221,74.828,28750.0,28750.0,28750.0,28750.0,28750.0,nan,60.1,54.6559590399494,41.2,0.971900415195857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Finland,276743120515.764,274497230802.958,258304834621.605,252496526813.004,171274266365.68802,50152.34014113031,50260.2998588958,47710.7902169415,47293.9928335042,32855.132628780295,5518050.0,5461512.0,5413971.0,5338871.0,5213014.0,14.618,14.825,15.159,16.570999999999998,17.362000000000002,85.382,85.175,84.84100000000002,83.429,82.63799999999998,16.1451829725838,16.4257917962959,16.4583352570839,16.6506809287901,17.6237537767168,62.134029481894,63.9153141926143,65.1978200366775,66.5241989254739,66.7540638745092,21.7207875455222,19.658894011089803,18.3438447062387,16.825120145736,15.622182348773999,50.720758485383215,50.809076776876296,50.865900281249296,50.951131972837,51.1068840004393,1.7,2.4,2.7,3.2,4.0,nan,81.1804878048781,80.62682926829271,79.71951219512201,78.36829268292679,338450.0,338420.0,338420.0,338420.0,338150.0,88.8899599985585,86.5303927529377,89.879997974222,82.49,69.22,47.0,0.0,7/6/09 9:00,0.0,0.0,24.0,70.0,0.0,nan,nan,nan,nan,nan,nan
