Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94578301,24.84606073,24.31933717,27.07337286,20.64524079,23.73027422,19.32790224,12.01669065,14.46185738,17.09651542,-2.041702048,13.16330511,2.416150395,13.73219373,10.89649005,3.549894835,-1.698071867,1.888913379,1.366142826,6.481444782,8.260109319,9.798360194,,,
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.332307331,3.713389244,2.614542009,13.77505234,22.87111755,15.94536426,18.23267407,14.73462478,18.65173377,,
Angola,AGO,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.20787725,14.48022216,28.87681621,26.05546064,33.53599818,41.18765332,43.45458346,41.49897042,38.65885832,27.65786789,36.98734332,37.88854989,37.23299939,32.02988195,29.96672073,25.02132647,24.44330788,26.43720513,,
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,27.81122631,28.41000043,28.24256658,26.06075559,23.7252669,26.82826807,18.77775792,-10.95198896,-11.99358089,11.20820812,3.10983688,16.35751101,16.13621762,5.57342943,17.35943612,14.89355007,25.94096947,29.50460712,25.93862245,26.6389919,29.47261573,30.25589018,29.07796941,23.94816772,17.65161692,17.28521936,19.96301624,20.54364894,19.63084661,17.74108304,15.93714499,16.85704422,17.05321227,16.44176952,16.22980488,
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.89638063,42.19306117,42.29578431,45.6516064,31.53491165,36.19573403,40.86506854,39.18617417,35.17153053,32.95659745,24.37597889,23.87244905,26.5043728,28.13275235,
United Arab Emirates,ARE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,34.04870673,32.50771112,30.17940548,25.21609673,22.98843021,19.88025687,18.35859879,18.53762718,17.62226268,,14.78330546,15.19790162,,13.6301814,16.04337666,13.56185603,13.65162817,16.25052791,15.64836245,16.51163227,17.13007736,16.66428243,16.12973433,13.66191638,14.3684377,14.21407282,21.34317688,21.73453301,13.78283487,13.70860973,21.41722954,22.23144417,21.1268024,18.32136631,17.33185579,17.33321556,16.20994513,15.19446637,15.90902761,14.3058273,14.63801329,13.53124852,15.49293308,
Armenia,ARM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.55016955,2.833865655,-4.947704439,1.785440081,3.999216137,0.839851465,2.833172648,2.784437875,9.36988803,14.28867887,19.90529758,22.04146541,27.39246878,31.47903342,31.55162655,30.79382551,17.1707525,16.43328568,14.57879091,12.81233388,14.45467948,13.28125751,18.23422172,16.82181323,16.90936495,13.61241304,
American Samoa,ASM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5869001,24.31723178,20.70886286,18.20921239,20.19854723,21.74457315,20.67586338,20.9526523,21.86742192,21.66734567,20.68424737,21.24190595,20.82553727,21.84569045,21.13598459,21.5897676,21.04054248,21.82758894,21.44643093,21.9927219,24.01129593,21.79667242,23.30083168,24.3083626,23.99113738,23.5936398,22.6402075,20.6651715,21.87050474,21.72715262,
Austria,AUT,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05641378,26.7350904,28.18862456,28.69712265,24.83575575,25.82390233,26.09326413,25.77517514,25.48381808,25.98487076,25.65294431,27.05568789,26.67058313,27.63844551,
Azerbaijan,AZE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.237149159,2.011517924,13.8125357,5.979977991,9.414616755,15.46237626,19.76765156,19.65555918,23.41327943,25.38812222,38.68582027,44.28018555,44.61015803,49.43982321,39.80410131,44.16514601,46.26604963,43.80780241,42.16728077,40.18196009,27.49901421,22.08130669,28.50077821,32.96647514,
