,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
1434,0,0,0,91.4,2,2,62.1
1435,0,4,0,133.3,4,2,64.0
1436,0,2,0,69.0,5,0,72.1
1437,0,0,2,117.6,6,2,121.0
1438,2,1,1,71.2,3,2,84.9
1439,1,1,2,85.8,5,0,140.8
1440,0,3,2,158.3,3,0,50.3
1441,0,2,0,139.1,6,0,128.5
1442,3,1,1,106.5,4,0,134.4
1443,0,1,1,120.7,5,0,121.3
1445,2,1,3,94.4,6,0,158.3
1444,1,3,0,80.2,4,2,45.4
1446,0,2,3,65.6,8,0,127.4
1447,0,2,1,114.3,6,0,105.8
1448,0,2,0,105.3,5,0,121.0
1449,0,1,0,103.4,4,3,70.1
1459,1,0,0,73.0,3,1,91.7
1450,0,5,0,132.2,4,2,90.5
1451,0,1,0,123.5,4,3,103.5
1452,0,2,1,90.5,6,1,104.8
1453,2,0,1,131.0,6,0,81.4
1454,1,1,1,95.2,4,1,93.5
1455,0,2,0,101.1,3,2,62.3
1456,1,1,0,124.7,1,4,20.8
1457,1,0,2,97.2,3,1,70.9
1458,2,0,0,52.9,4,1,101.2
1460,1,1,0,131.2,3,1,61.1
1461,0,0,1,62.0,6,0,112.6
1462,0,0,1,70.0,4,3,83.1
1463,1,0,3,62.4,5,1,79.6
1464,0,3,0,83.6,2,2,90.9
1465,1,0,1,81.7,5,1,108.2
1472,1,0,3,66.0,6,0,91.4
1466,2,1,0,63.4,5,0,81.1
1467,0,3,0,85.5,5,2,94.6
1468,0,0,1,47.2,6,0,92.8
1469,0,1,3,103.7,7,0,112.0
1470,0,0,4,70.6,7,1,132.0
1471,2,0,2,75.8,6,0,96.2
1473,0,1,0,121.1,6,0,118.1
1474,2,0,1,112.7,7,1,112.4
1475,1,1,0,144.4,5,1,73.1
1476,1,2,1,81.4,5,0,82.4
1477,1,2,1,112.7,4,4,102.6
1478,1,1,0,135.8,5,3,101.5
1479,1,1,0,79.7,3,2,64.0
1480,0,3,0,116.5,3,3,78.8
1481,0,2,0,113.2,6,1,93.4
1486,0,5,1,130.8,3,1,88.9
1485,0,0,0,28.6,4,1,78.0
1484,0,5,1,99.1,5,2,96.1
1489,1,1,1,105.4,5,3,82.2
1482,0,2,0,45.9,3,2,32.4
1487,3,0,0,89.3,3,0,60.9
1483,0,2,1,129.7,3,4,88.3
1488,3,2,1,81.0,7,0,118.6
1490,0,1,0,120.5,8,1,80.3
1491,0,0,0,114.3,3,0,77.7
1493,2,0,2,91.6,4,3,98.5
1492,0,3,1,97.2,5,0,98.9
1494,2,1,1,73.2,4,0,78.9
1495,1,0,3,57.4,6,1,123.1
1496,1,1,0,83.3,6,1,151.8
1505,0,0,1,104.6,6,2,132.1
1506,0,1,1,102.6,10,0,158.3
1504,1,2,1,138.6,4,3,65.9
1502,1,1,1,37.3,6,2,89.6
1501,0,3,1,54.9,6,0,83.1
1503,0,0,2,98.3,2,0,86.0
1499,0,0,1,103.6,2,0,61.0
1498,3,2,0,101.9,6,1,82.9
1497,0,3,1,87.1,6,1,107.6
1500,0,1,0,89.7,5,1,96.5
1507,1,3,0,94.2,4,1,58.6
1508,0,3,0,85.2,5,0,83.8
1509,0,1,2,61.1,4,2,91.9
1510,2,1,0,19.4,6,1,108.5
1511,1,1,1,35.2,6,2,88.9
1512,1,0,1,104.6,5,2,46.8
1516,0,1,0,99.8,4,2,63.8
1515,1,0,3,82.0,7,1,138.4
1517,1,5,3,77.5,5,0,96.5
1513,1,2,0,117.6,5,3,54.9
1514,0,1,0,61.4,6,0,84.9
1518,0,0,0,94.7,3,1,51.4
1519,0,2,0,144.9,7,1,128.2
1520,1,3,1,80.7,2,4,60.8
1521,0,3,1,89.4,5,0,113.8
1522,0,0,2,39.7,5,0,67.1
1523,0,4,0,87.9,4,0,77.8
1524,0,6,1,83.5,5,0,90.0
1525,0,0,1,106.7,2,3,79.7
1531,0,1,0,141.5,6,1,111.7
1533,0,3,2,84.8,4,0,50.1
1532,0,4,3,81.5,5,1,123.5
1530,1,4,1,129.6,7,0,158.3
1529,0,4,1,78.3,4,3,78.6
1528,0,3,2,59.8,1,1,91.3
1527,0,2,1,102.0,3,0,83.4
1526,1,1,2,88.0,7,0,111.4
1534,1,3,1,108.3,5,2,119.9
1535,0,3,1,69.4,5,0,65.2
1536,0,4,0,100.9,6,2,86.3
1537,3,0,2,80.8,7,1,100.5
1538,0,3,1,80.7,2,1,3.6
1539,1,0,0,74.1,6,3,112.3
1545,0,2,2,73.3,7,1,119.6
1546,1,0,2,124.2,6,0,129.4
1544,0,0,2,75.6,6,0,116.4
1543,2,1,2,68.1,6,1,109.8
1547,0,2,0,76.8,5,0,85.8
1541,0,1,0,131.7,5,1,99.8
1540,1,2,2,104.9,3,2,81.6
1542,0,1,6,86.1,5,0,119.3
1548,0,4,0,82.7,4,1,75.1
1549,0,0,2,28.9,10,0,111.2
1551,0,1,0,125.0,6,1,115.2
1550,2,2,1,79.2,6,2,96.9
1552,0,4,0,129.0,5,0,107.1
1553,2,1,2,71.9,6,1,84.4
1554,0,3,1,136.9,5,0,130.7
1555,1,2,1,120.4,2,2,59.6
1556,1,2,1,82.3,6,2,84.4
1557,0,2,1,86.2,5,2,110.4
1558,2,2,3,107.9,7,1,84.3
1559,1,2,0,66.6,6,1,91.7
1560,0,4,2,85.4,6,0,118.8
1561,0,4,1,94.2,6,1,103.9
1563,1,3,2,110.4,6,2,116.2
1562,1,0,1,103.9,7,0,133.7
1564,0,2,1,85.5,6,1,108.3
1565,0,2,2,90.7,5,0,125.6
1566,1,3,0,80.4,7,1,107.7
1567,1,7,0,101.7,6,1,74.2
1568,0,5,2,57.5,6,1,98.6
1575,0,2,2,73.8,6,2,102.7
1574,0,4,1,78.5,3,3,89.4
1573,2,2,2,121.7,7,1,97.9
1569,0,3,1,133.3,4,4,66.9
1571,1,1,3,99.3,7,0,74.8
1570,0,4,2,73.6,4,1,131.0
1572,1,3,2,117.0,6,1,133.9
1576,1,0,2,63.8,4,2,38.8
1577,1,1,2,40.1,5,1,85.6
1578,1,0,1,84.2,5,0,84.4
1579,0,0,1,111.5,5,2,99.3
1580,3,1,0,86.9,7,1,66.2
1581,0,2,3,36.3,4,0,92.3
1587,0,2,4,66.5,5,2,133.2
1589,1,3,0,116.6,5,0,109.3
1588,0,5,1,117.7,4,4,91.3
1586,1,2,4,61.7,8,1,139.7
1584,1,6,1,118.7,4,1,79.9
1583,0,3,1,110.7,2,5,47.5
1582,0,3,1,92.2,6,2,76.4
1585,0,1,1,122.4,4,1,57.1
1590,2,3,1,101.8,5,2,115.4
1591,1,0,2,39.0,4,1,105.7
1592,0,3,0,76.0,3,1,74.4
1593,0,1,2,62.3,4,0,69.9
1594,0,2,0,72.7,4,1,49.6
1595,0,0,1,76.9,5,2,104.6
1601,1,0,1,112.7,6,1,114.4
1604,1,0,4,86.6,5,0,69.0
1603,0,4,0,70.4,3,0,84.1
1602,0,2,1,65.5,8,0,118.1
1599,1,2,0,75.4,3,1,75.8
1598,1,2,0,50.9,6,0,46.0
1597,0,0,0,108.2,6,3,67.7
1596,0,2,0,32.4,5,0,92.9
1600,1,1,1,54.4,7,0,127.8
1605,1,2,2,81.3,7,0,155.8
1606,0,1,1,64.2,4,1,70.8
1607,1,0,3,76.3,7,0,145.8
1608,0,2,3,137.3,3,1,62.0
1609,0,1,1,118.1,5,1,87.6
1610,0,0,2,136.5,3,3,91.8
1611,0,2,0,86.0,5,4,83.1
1618,0,3,2,71.4,5,0,88.0
1617,2,1,1,131.3,4,0,74.9
1619,0,1,0,69.9,4,2,81.6
1616,1,1,2,89.0,3,3,61.0
